sentence_id	token_id	token	surprisal
1	1	The	3.27317
1	2	woman	12.062
1	3	brought	10.9257
1	4	the	2.79133
1	5	sandwich	17.1554
1	6	from	4.39202
1	7	the	2.73255
1	8	kitchen	12.3361
1	9	fell	21.1355
1	10	in	4.07647
1	11	the	3.82189
1	12	dining	23.7057
1	13	room	6.1357
2	1	The	3.27317
2	2	woman	12.062
2	3	who	17.8169
2	4	was	5.3934
2	5	brought	9.04869
2	6	the	6.55428
2	7	sandwich	18.6411
2	8	from	4.64421
2	9	the	2.62245
2	10	kitchen	12.6486
2	11	fell	20.5117
2	12	in	3.88807
2	13	the	3.77023
2	14	dining	23.5248
2	15	room	6.09801
3	1	The	3.27317
3	2	woman	12.062
3	3	given	15.7796
3	4	the	2.43511
3	5	sandwich	18.1353
3	6	from	5.10238
3	7	the	3.74835
3	8	kitchen	12.1887
3	9	fell	22.4329
3	10	in	4.38022
3	11	the	3.68338
3	12	dining	23.2444
3	13	room	6.11761
4	1	The	3.27317
4	2	woman	12.062
4	3	who	17.8169
4	4	was	5.3934
4	5	given	7.83363
4	6	the	3.10081
4	7	sandwich	19.279
4	8	from	5.07969
4	9	the	3.41122
4	10	kitchen	12.5271
4	11	fell	21.274
4	12	in	4.14689
4	13	the	3.64006
4	14	dining	23.0539
4	15	room	6.06871
5	1	The	3.27317
5	2	convict	22.4877
5	3	walked	23.3866
5	4	into	2.61048
5	5	the	2.81399
5	6	dark	7.76478
5	7	cell	16.3511
5	8	tried	24.7452
5	9	to	6.76109
5	10	escape	15.8109
5	11	but	13.2197
5	12	failed	14.1746
6	1	The	3.27317
6	2	convict	22.4877
6	3	who	13.6154
6	4	was	7.82069
6	5	walked	16.4313
6	6	into	2.99388
6	7	the	2.42848
6	8	dark	8.46422
6	9	cell	15.4437
6	10	tried	24.4756
6	11	to	7.11195
6	12	escape	16.5415
6	13	but	12.5414
6	14	failed	14.4013
7	1	The	3.27317
7	2	convict	22.4877
7	3	taken	24.115
7	4	into	10.7307
7	5	the	2.88065
7	6	dark	8.40546
7	7	cell	15.6688
7	8	tried	24.3836
7	9	to	7.25219
7	10	escape	14.1109
7	11	but	14.555
7	12	failed	14.0758
8	1	The	3.27317
8	2	convict	22.4877
8	3	who	13.6154
8	4	was	7.82069
8	5	taken	9.53262
8	6	into	5.61415
8	7	the	2.90355
8	8	dark	9.41376
8	9	cell	15.361
8	10	tried	24.2179
8	11	to	7.5297
8	12	escape	17.2881
8	13	but	11.5737
8	14	failed	14.368
9	1	The	3.27317
9	2	prisoners	20.7582
9	3	hit	11.7028
9	4	for	8.04682
9	5	hours	12.6528
9	6	and	5.34523
9	7	hours	12.417
9	8	confessed	21.242
9	9	to	0.441162
9	10	crimes	15.3793
9	11	they	21.1044
9	12	never	15.0152
9	13	committed	10.1471
10	1	The	3.27317
10	2	prisoners	20.7582
10	3	who	18.8468
10	4	were	9.98969
10	5	hit	10.8648
10	6	for	7.18025
10	7	hours	11.6055
10	8	and	5.52837
10	9	hours	12.0251
10	10	confessed	20.8649
10	11	to	0.405555
10	12	crimes	15.2329
10	13	they	21.1774
10	14	never	14.7028
10	15	committed	10.0705
11	1	The	3.27317
11	2	prisoners	20.7582
11	3	beaten	17.5381
11	4	for	7.17167
11	5	hours	12.774
11	6	and	5.57442
11	7	hours	12.1525
11	8	confessed	20.7969
11	9	to	0.378422
11	10	crimes	15.0224
11	11	they	21.424
11	12	never	15.425
11	13	committed	11.62
12	1	The	3.27317
12	2	prisoners	20.7582
12	3	who	18.8468
12	4	were	9.98969
12	5	beaten	13.0287
12	6	for	6.58967
12	7	hours	11.8015
12	8	and	5.63095
12	9	hours	11.8169
12	10	confessed	20.362
12	11	to	0.338542
12	12	crimes	14.9992
12	13	they	21.6255
12	14	never	15.2415
12	15	committed	11.5352
13	1	The	3.27317
13	2	business	11.5086
13	3	expanded	12.2736
13	4	into	7.65143
13	5	an	6.3558
13	6	empire	22.0701
13	7	was	19.3981
13	8	sold	11.5486
13	9	for	3.60537
13	10	billions	12.9588
13	11	of	11.022
13	12	dollars	8.50809
14	1	The	3.27317
14	2	business	11.5086
14	3	that	15.909
14	4	was	5.33892
14	5	expanded	13.6198
14	6	into	7.19771
14	7	an	6.70054
14	8	empire	22.2769
14	9	was	22.0179
14	10	sold	8.69861
14	11	for	4.16
14	12	billions	13.1685
14	13	of	11.0916
14	14	dollars	8.53234
15	1	The	3.27317
15	2	business	11.5086
15	3	grown	23.0375
15	4	into	7.8355
15	5	an	7.0921
15	6	empire	24.6222
15	7	was	20.7704
15	8	sold	9.03922
15	9	for	3.73253
15	10	billions	12.9134
15	11	of	11.637
15	12	dollars	8.15844
16	1	The	3.27317
16	2	business	11.5086
16	3	that	15.909
16	4	was	5.33892
16	5	grown	11.8153
16	6	into	7.13164
16	7	an	7.01812
16	8	empire	25.0438
16	9	was	22.7456
16	10	sold	9.4462
16	11	for	4.07215
16	12	billions	12.9174
16	13	of	11.7383
16	14	dollars	8.3269
17	1	The	3.27317
17	2	mice	19.7982
17	3	consumed	16.9217
17	4	rapidly	14.6998
17	5	and	6.91152
17	6	entirely	14.0553
17	7	were	16.1659
17	8	carrying	14.2307
17	9	a	4.13858
17	10	rare	10.586
17	11	bacteria	14.7041
18	1	The	3.27317
18	2	mice	19.7982
18	3	that	16.527
18	4	were	11.3238
18	5	consumed	13.109
18	6	rapidly	12.3185
18	7	and	5.92085
18	8	entirely	9.0857
18	9	were	14.5547
18	10	carrying	15.1706
18	11	a	13.8431
18	12	rare	10.9152
18	13	bacteria	15.0554
19	1	The	3.27317
19	2	mice	19.7982
19	3	consumed	16.9217
19	4	rapidly	14.6998
19	5	and	6.91152
19	6	entirely	14.0553
19	7	were	16.1659
19	8	carrying	14.2307
19	9	a	4.13858
19	10	rare	10.586
19	11	bacteria	14.7041
20	1	The	3.27317
20	2	mice	19.7982
20	3	that	16.527
20	4	were	11.3238
20	5	consumed	13.109
20	6	rapidly	12.3185
20	7	and	5.92085
20	8	entirely	9.0857
20	9	were	14.5547
20	10	carrying	15.1706
20	11	a	13.8431
20	12	rare	10.9152
20	13	bacteria	15.0554
21	1	The	3.27317
21	2	lawyer	14.901
21	3	pledged	10.9767
21	4	to	2.30821
21	5	keep	6.44173
21	6	silent	17.1892
21	7	was	23.6488
21	8	discovered	15.5221
21	9	to	7.81646
21	10	have	14.9256
21	11	broken	10.8391
21	12	his	9.0771
21	13	promise	11.5294
22	1	The	3.27317
22	2	lawyer	14.901
22	3	that	15.5464
22	4	was	10.1942
22	5	pledged	13.3629
22	6	to	8.44639
22	7	keep	17.322
22	8	silent	20.6741
22	9	was	21.305
22	10	discovered	13.7236
22	11	to	6.5673
22	12	have	7.30489
22	13	broken	11.3437
22	14	his	9.42775
22	15	promise	11.3025
23	1	The	3.27317
23	2	lawyer	14.901
23	3	committed	16.7424
23	4	to	6.60701
23	5	keep	18.9399
23	6	silent	20.3852
23	7	was	20.3051
23	8	discovered	21.8168
23	9	to	6.31814
23	10	have	18.0292
23	11	broken	11.9208
23	12	his	8.15647
23	13	promise	11.7948
24	1	The	3.27317
24	2	lawyer	14.901
24	3	who	18.3967
24	4	was	6.22309
24	5	committed	10.6542
24	6	to	0.343904
24	7	keep	20.0548
24	8	silent	21.1735
24	9	was	19.4026
24	10	discovered	21.4845
24	11	to	7.38147
24	12	have	17.4486
24	13	broken	14.4475
24	14	his	6.81928
24	15	promise	11.9021
25	1	The	3.27317
25	2	child	16.2049
