sentence_id	token_id	token	surprisal
1	1	The	1.58236
1	2	woman	8.19789
1	3	brought	7.28906
1	4	the	1.58289
1	5	sandwich	10.0271
1	6	from	3.69624
1	7	the	1.53995
1	8	kitchen	5.33317
1	9	fell	16.3408
1	10	in	2.91864
1	11	the	1.57798
1	12	dining	7.9483
1	13	room	0.782635
2	1	The	1.58236
2	2	woman	8.19789
2	3	who	13.4752
2	4	was	6.65173
2	5	brought	6.30995
2	6	the	16.1512
2	7	sandwich	12.3441
2	8	from	4.06359
2	9	the	1.23053
2	10	kitchen	5.65653
2	11	fell	13.8042
2	12	in	2.89301
2	13	the	2.16804
2	14	dining	8.30007
2	15	room	0.739743
3	1	The	1.58236
3	2	woman	8.19789
3	3	given	11.5303
3	4	the	1.70675
3	5	sandwich	10.637
3	6	from	5.22004
3	7	the	1.48009
3	8	kitchen	5.96514
3	9	fell	13.9117
3	10	in	3.85021
3	11	the	1.55733
3	12	dining	8.06018
3	13	room	0.700214
4	1	The	1.58236
4	2	woman	8.19789
4	3	who	13.4752
4	4	was	6.65173
4	5	given	5.51623
4	6	the	2.10708
4	7	sandwich	10.8544
4	8	from	5.28268
4	9	the	1.18964
4	10	kitchen	6.09302
4	11	fell	16.2553
4	12	in	2.61829
4	13	the	1.49711
4	14	dining	7.83909
4	15	room	0.688071
5	1	The	1.58236
5	2	convict	12.8705
5	3	walked	8.79547
5	4	into	1.90888
5	5	the	1.05679
5	6	dark	6.00276
5	7	cell	10.0396
5	8	tried	16.43
5	9	to	0.76859
5	10	escape	4.9618
5	11	but	12.3978
5	12	failed	10.9376
6	1	The	1.58236
6	2	convict	12.8705
6	3	who	13.8908
6	4	was	6.25794
6	5	walked	11.2461
6	6	into	2.74248
6	7	the	0.977729
6	8	dark	6.21058
6	9	cell	9.78368
6	10	tried	20.7687
6	11	to	1.06957
6	12	escape	5.35285
6	13	but	12.6819
6	14	failed	10.8864
7	1	The	1.58236
7	2	convict	12.8705
7	3	taken	11.3571
7	4	into	3.25783
7	5	the	1.38926
7	6	dark	6.53198
7	7	cell	13.5878
7	8	tried	15.2258
7	9	to	8.33865
7	10	escape	9.46812
7	11	but	10.849
7	12	failed	10.7081
8	1	The	1.58236
8	2	convict	12.8705
8	3	who	13.8908
8	4	was	6.25794
8	5	taken	6.04349
8	6	into	2.99305
8	7	the	1.47215
8	8	dark	7.45815
8	9	cell	9.09733
8	10	tried	19.2817
8	11	to	3.04356
8	12	escape	7.98004
8	13	but	5.12699
8	14	failed	5.49661
9	1	The	1.58236
9	2	prisoners	11.7994
9	3	hit	7.5693
9	4	for	16.9772
9	5	hours	17.4409
9	6	and	8.75852
9	7	hours	13.0725
9	8	confessed	13.3739
9	9	to	1.18333
9	10	crimes	7.43225
9	11	they	15.0286
9	12	never	10.3328
9	13	committed	9.19528
10	1	The	1.58236
10	2	prisoners	11.7994
10	3	who	14.8011
10	4	were	6.16578
10	5	hit	6.27679
10	6	for	4.57285
10	7	hours	4.91369
10	8	and	10.0046
10	9	hours	10.0296
10	10	confessed	11.4795
10	11	to	0.47835
10	12	crimes	6.76801
10	13	they	2.49995
10	14	never	12.8246
10	15	committed	7.10727
11	1	The	1.58236
11	2	prisoners	11.7994
11	3	beaten	11.1076
11	4	for	4.85015
11	5	hours	5.65551
11	6	and	2.40233
11	7	hours	1.83137
11	8	confessed	14.7314
11	9	to	6.27877
11	10	crimes	9.14329
11	11	they	15.6952
11	12	never	11.987
11	13	committed	8.46276
12	1	The	1.58236
12	2	prisoners	11.7994
12	3	who	14.8011
12	4	were	6.16578
12	5	beaten	6.09756
12	6	for	3.75309
12	7	hours	5.01918
12	8	and	9.44109
12	9	hours	10.1311
12	10	confessed	11.384
12	11	to	1.80594
12	12	crimes	6.92349
12	13	they	2.48327
12	14	never	12.7731
12	15	committed	7.10314
13	1	The	1.58236
13	2	business	7.78053
13	3	expanded	8.08287
13	4	into	6.47411
13	5	an	3.92795
13	6	empire	5.86948
13	7	was	12.619
13	8	sold	4.46131
13	9	for	2.70049
13	10	billions	8.74252
13	11	of	0.23024
13	12	dollars	0.0224867
14	1	The	1.58236
14	2	business	7.78053
14	3	that	14.5225
14	4	was	12.3012
14	5	expanded	8.82969
14	6	into	4.41366
14	7	an	3.8222
14	8	empire	6.06494
14	9	was	10.3066
14	10	sold	3.20539
14	11	for	2.95706
14	12	billions	9.5559
14	13	of	5.78686
14	14	dollars	0.0962629
15	1	The	1.58236
15	2	business	7.78053
15	3	grown	15.5125
15	4	into	4.87028
15	5	an	3.55972
15	6	empire	6.78556
15	7	was	13.0315
15	8	sold	4.95605
15	9	for	2.60086
15	10	billions	8.60766
15	11	of	0.230992
15	12	dollars	0.0228371
16	1	The	1.58236
16	2	business	7.78053
16	3	that	14.5225
16	4	was	12.3012
16	5	grown	10.3515
16	6	into	5.63176
16	7	an	3.48508
16	8	empire	7.14021
16	9	was	10.2103
16	10	sold	3.68412
16	11	for	2.8733
16	12	billions	8.416
16	13	of	0.208581
16	14	dollars	0.0272547
17	1	The	1.58236
17	2	mice	11.7992
17	3	consumed	9.40133
17	4	rapidly	13.3416
17	5	and	3.3919
17	6	entirely	16.1378
17	7	were	12.5053
17	8	carrying	8.05869
17	9	a	2.50814
17	10	rare	6.57567
17	11	bacteria	8.31472
18	1	The	1.58236
18	2	mice	11.7992
18	3	that	14.3611
18	4	were	9.9931
18	5	consumed	6.68178
18	6	rapidly	8.26544
18	7	and	0.879427
18	8	entirely	14.1443
18	9	were	13.3442
18	10	carrying	13.5593
18	11	a	7.92107
18	12	rare	7.33078
18	13	bacteria	9.70983
19	1	The	1.58236
19	2	mice	11.7992
19	3	consumed	9.40133
19	4	rapidly	13.3416
19	5	and	3.3919
19	6	entirely	16.1378
19	7	were	12.5053
19	8	carrying	8.05869
19	9	a	2.50814
19	10	rare	6.57567
19	11	bacteria	8.31472
20	1	The	1.58236
20	2	mice	11.7992
20	3	that	14.3611
20	4	were	9.9931
20	5	consumed	6.68178
20	6	rapidly	8.26544
20	7	and	0.879427
20	8	entirely	14.1443
20	9	were	13.3442
20	10	carrying	13.5593
20	11	a	7.92107
20	12	rare	7.33078
20	13	bacteria	9.70983
21	1	The	1.58236
21	2	lawyer	8.06183
21	3	pledged	9.76753
21	4	to	0.406066
21	5	keep	4.96999
21	6	silent	13.7615
21	7	was	14.3273
21	8	discovered	10.8103
21	9	to	1.92082
21	10	have	4.76967
21	11	broken	7.28038
21	12	his	3.64049
21	13	promise	7.17305
22	1	The	1.58236
22	2	lawyer	8.06183
22	3	that	13.3074
22	4	was	8.8215
22	5	pledged	10.1059
22	6	to	0.739254
22	7	keep	5.24432
22	8	silent	13.6745
22	9	was	14.2982
22	10	discovered	13.033
22	11	to	4.91466
22	12	have	11.8796
22	13	broken	5.81124
22	14	his	3.8844
22	15	promise	7.32676
23	1	The	1.58236
23	2	lawyer	8.06183
23	3	committed	10.3423
