sentence_id	token_id	token	surprisal
1	1	While	10.5958
1	2	the	1.23505
1	3	boy	10.6894
1	4	standing	11.8624
1	5	UNK-LC-ly	8.54619
1	6	by	4.76575
1	7	the	2.97807
1	8	doorway	8.88231
1	9	UNK-LC-ed	9.59911
1	10	the	10.0101
1	11	dog	8.98331
1	12	UNK-LC-ed	9.95157
1	13	.	0.372338
2	1	If	10.7691
2	2	the	1.50883
2	3	clerk	10.4969
2	4	searching	13.4509
2	5	UNK-LC-ly	13.8137
2	6	in	3.78626
2	7	the	1.24289
2	8	shelves	9.53554
2	9	UNK-LC-s	16.2918
2	10	the	2.25095
2	11	customer	8.31984
2	12	complains	15.1465
2	13	.	1.22371
3	1	As	5.24791
3	2	the	4.38282
3	3	doctor	9.83014
3	4	standing	14.4444
3	5	UNK-LC-ly	14.0244
3	6	by	13.0768
3	7	the	1.68825
3	8	UNK-LC	6.21126
3	9	UNK-LC-ed	7.87011
3	10	the	2.34854
3	11	student	8.52513
3	12	listened	15.9961
3	13	.	6.65984
4	1	While	10.5958
4	2	the	1.23505
4	3	girls	11.3548
4	4	attending	12.5045
4	5	camp	9.90198
4	6	for	4.5815
4	7	the	1.87247
4	8	summer	5.59743
4	9	UNK-LC-ed	11.4092
4	10	the	8.14599
4	11	kids	10.1521
4	12	watched	19.3922
4	13	.	12.6908
5	1	When	11.903
5	2	the	1.18896
5	3	worker	10.2163
5	4	wearing	7.0728
5	5	UNK-LC-s	7.4948
5	6	over	7.94693
5	7	his	3.25082
5	8	shirt	6.49353
5	9	moved	10.6752
5	10	the	3.08612
5	11	boxes	8.02912
5	12	fell	13.5164
5	13	.	6.17516
6	1	As	5.24791
6	2	the	4.38282
6	3	author	6.94407
6	4	studying	18.0333
6	5	UNK-INITC	7.77841
6	6	in	10.5496
6	7	ancient	9.47757
6	8	times	5.11092
6	9	wrote	17.8684
6	10	the	4.11213
6	11	book	5.69009
6	12	grew	12.1165
6	13	.	1.72336
7	1	As	5.24791
7	2	the	4.38282
7	3	people	7.98866
7	4	paying	9.66167
7	5	attention	4.25072
7	6	to	0.294984
7	7	the	1.03635
7	8	information	7.37581
7	9	watched	10.1163
7	10	the	16.8261
7	11	show	9.29092
7	12	stopped	10.7606
7	13	.	11.7014
8	1	UNK-INITC-KNOWNLC-er	10.4741
8	2	the	3.55685
8	3	children	6.94713
8	4	screaming	14.8512
8	5	UNK-LC-ly	10.6965
8	6	to	4.79764
8	7	get	4.07389
8	8	attention	7.61091
8	9	leave	12.52
8	10	the	2.28005
8	11	dog	6.85697
8	12	UNK-LC-s	10.1226
8	13	.	6.75797
9	1	When	11.903
9	2	the	1.18896
9	3	aunt	12.1019
9	4	attending	8.34664
9	5	UNK-LC	9.13219
9	6	school	8.49279
9	7	in	1.64915
9	8	the	1.46992
9	9	country	4.85283
9	10	visits	13.6741
9	11	the	1.55279
9	12	cousins	11.3144
9	13	talk	16.0788
9	14	.	7.67907
10	1	When	11.903
10	2	the	1.18896
10	3	maid	11.8425
10	4	carrying	8.98109
10	5	UNK-LC-s	7.94934
10	6	and	2.71902
10	7	other	10.0007
10	8	items	6.22303
10	9	packs	13.635
10	10	the	1.88437
10	11	bag	8.08514
10	12	breaks	11.9417
10	13	.	8.65012
11	1	If	10.7691
11	2	the	1.50883
11	3	UNK-LC	7.8168
