sentence_id	token_id	token	surprisal
1	1	While	5.62021
1	2	the	1.39944
1	3	boy	10.821
1	4	standing	12.9887
1	5	UNK-LC-ly	4.91922
1	6	by	4.49027
1	7	the	2.02863
1	8	doorway	9.76452
1	9	UNK-LC-ed	8.20633
1	10	the	4.53395
1	11	dog	8.34784
1	12	UNK-LC-ed	8.22797
1	13	.	2.22159
2	1	If	5.29831
2	2	the	1.44133
2	3	clerk	11.1115
2	4	searching	12.0758
2	5	UNK-LC-ly	6.61791
2	6	in	3.18703
2	7	the	1.49903
2	8	shelves	11.6906
2	9	UNK-LC-s	11.9291
2	10	the	2.88162
2	11	customer	8.46472
2	12	complains	10.3645
2	13	.	10.8241
3	1	As	4.2959
3	2	the	2.68447
3	3	doctor	9.22723
3	4	standing	11.3489
3	5	UNK-LC-ly	6.39567
3	6	by	3.8518
3	7	the	1.46026
3	8	UNK-LC	4.47784
3	9	UNK-LC-ed	6.41363
3	10	the	3.73296
3	11	student	9.54768
3	12	listened	15.4359
3	13	.	1.39388
4	1	While	5.62021
4	2	the	1.39944
4	3	girls	10.2563
4	4	attending	12.4699
4	5	camp	11.9893
4	6	for	4.31951
4	7	the	1.60237
4	8	summer	6.80155
4	9	UNK-LC-ed	7.43931
4	10	the	2.41924
4	11	kids	9.32539
4	12	watched	15.5855
4	13	.	9.80424
5	1	When	11.0272
5	2	the	3.72189
5	3	worker	9.53978
5	4	wearing	13.7793
5	5	UNK-LC-s	5.21207
5	6	over	5.73939
5	7	his	3.31538
5	8	shirt	11.1292
5	9	moved	12.4075
5	10	the	4.53408
5	11	boxes	10.5388
5	12	fell	15.911
5	13	.	2.41467
6	1	As	4.2959
6	2	the	2.68447
6	3	author	7.6652
6	4	studying	12.243
6	5	UNK-INITC	6.65117
6	6	in	4.18484
6	7	ancient	14.713
6	8	times	9.27982
6	9	wrote	15.7048
6	10	the	6.05983
6	11	book	7.88151
6	12	grew	8.98498
6	13	.	3.22768
7	1	As	4.2959
7	2	the	2.68447
7	3	people	7.23161
7	4	paying	9.91519
7	5	attention	8.03995
7	6	to	2.34923
7	7	the	1.3113
7	8	information	7.71737
7	9	watched	10.2097
7	10	the	1.98334
7	11	show	6.81844
7	12	stopped	9.93498
7	13	.	8.58842
8	1	UNK-INITC-KNOWNLC-er	8.08462
8	2	the	6.17073
8	3	children	6.98199
8	4	screaming	12.3884
8	5	UNK-LC-ly	7.28644
8	6	to	3.51197
8	7	get	5.23816
8	8	attention	7.62874
8	9	leave	12.0861
8	10	the	3.99959
8	11	dog	8.76024
8	12	UNK-LC-s	5.05058
8	13	.	10.5434
9	1	When	11.0272
9	2	the	3.72189
9	3	aunt	11.7549
9	4	attending	10.0291
9	5	UNK-LC	6.58686
9	6	school	7.13313
9	7	in	3.06961
9	8	the	2.28388
9	9	country	4.2582
9	10	visits	12.8096
9	11	the	1.67781
9	12	cousins	12.645
9	13	talk	11.8414
9	14	.	0.920422
10	1	When	11.0272
10	2	the	3.72189
10	3	maid	10.2579
10	4	carrying	12.3799
10	5	UNK-LC-s	5.17728
10	6	and	2.53647
10	7	other	5.25778
10	8	items	8.09665
10	9	packs	12.2981
10	10	the	2.92742
10	11	bag	9.63147
10	12	breaks	11.4713
10	13	.	4.61007
11	1	If	5.29831
11	2	the	1.44133
11	3	UNK-LC	5.31453
11	4	carrying	11.7173
11	5	grease	13.8086
11	6	and	3.68871
11	7	other	5.79816
11	8	items	5.8381
11	9	turns	14.0614
11	10	the	3.10846
11	11	UNK-LC	4.34336
11	12	sticks	10.6943
11	13	.	5.50991
12	1	Because	6.14918
12	2	the	2.36901
12	3	kids	9.67728
12	4	delivering	12.808
12	5	papers	10.5623
12	6	to	2.87535
12	7	the	1.99839
12	8	principal	10.6917
12	9	UNK-LC-ed	7.43589
12	10	the	2.58764
12	11	student	9.28485
12	12	yelled	13.5182
12	13	.	10.5226
13	1	When	11.0272
13	2	the	3.72189
13	3	UNK-LC-s	5.54848
13	4	hunting	13.5153
13	5	quietly	11.0835
13	6	in	2.6985
13	7	the	1.89334
13	8	field	5.04362
13	9	meet	11.9663
13	10	the	1.83611
13	11	UNK-LC	4.27772
13	12	UNK-LC-s	5.23358
13	13	.	2.20883
14	1	As	4.2959
14	2	the	2.68447
14	3	lawyers	7.77182
14	4	defending	13.0149
14	5	clients	7.42439
14	6	against	5.4268
14	7	fraud	8.21564
14	8	cases	8.12477
14	9	studied	10.5422
14	10	the	1.65173
14	11	case	7.3515
14	12	languished	16.1708
14	13	.	9.08003
15	1	While	5.62021
15	2	the	1.39944
15	3	UNK-LC-s	5.5258
15	4	breathing	11.7891
15	5	deeply	7.61538
15	6	and	5.08033
15	7	very	6.37854
15	8	UNK-LC-ly	3.30834
15	9	searched	15.6164
15	10	the	5.20144
15	11	river	7.2158
15	12	rose	9.7155
15	13	.	3.47146
16	1	As	4.2959
16	2	the	2.68447
16	3	actors	10.2286
16	4	including	9.82752
16	5	UNK-INITC	4.33314
16	6	and	3.24341
16	7	other	4.36503
16	8	stars	11.0492
16	9	UNK-LC-ed	5.24434
16	10	the	3.39553
16	11	play	8.58222
16	12	improved	13.3697
16	13	.	9.85942
17	1	If	5.29831
17	2	the	1.44133
17	3	heir	11.7142
17	4	awaiting	12.1461
17	5	notice	8.50538
17	6	of	1.27158
17	7	the	1.06704
17	8	death	7.16372
17	9	refuses	16.483
17	10	the	6.34656
17	11	money	7.91378
17	12	doubles	14.8381
17	13	.	7.62798
18	1	When	11.0272
18	2	the	3.72189
18	3	people	8.46317
18	4	seeking	11.6178
18	5	UNK-LC-s	6.14376
18	6	at	3.97051
18	7	the	1.21033
18	8	party	7.59784
18	9	notice	13.5521
18	10	the	4.21814
18	11	actor	9.73887
18	12	UNK-LC-s	5.9832
18	13	.	2.81521
19	1	When	11.0272
19	2	the	3.72189
19	3	UNK-LC	5.95236
19	4	carrying	12.2761
19	5	UNK-LC-s	4.40263
19	6	and	4.19792
19	7	other	9.77658
19	8	objects	12.6144
19	9	tries	15.5358
19	10	to	0.24807
19	11	UNK-LC	3.7378
19	12	the	2.20553
19	13	UNK-LC-s	4.45271
19	14	tumble	16.1579
19	15	.	9.65978
20	1	When	11.0272
20	2	the	3.72189
20	3	band	12.2249
20	4	playing	8.94654
20	5	songs	11.1858
20	6	for	7.3203
20	7	the	2.42526
20	8	guests	10.068
20	9	left	8.6175
20	10	the	2.16899
20	11	hotel	8.49947
20	12	closed	9.09566
20	13	.	1.14347
21	1	When	11.0272
21	2	the	3.72189
21	3	UNK-INITC-s	7.90323
21	4	seeking	11.2699
21	5	UNK-LC	6.59111
21	6	to	3.25854
21	7	build	5.46592
21	8	reactors	12.6797
21	9	invaded	13.7163
21	10	the	1.98438
21	11	town	6.64379
21	12	disappeared	14.3701
21	13	.	1.11077
22	1	While	5.62021
22	2	the	1.39944
