sentence_id	token_id	token	surprisal
1	1	While	4.46616
1	2	the	1.36656
1	3	boy	9.98307
1	4	standing	12.4358
1	5	calmly	10.9933
1	6	by	4.95546
1	7	the	2.1446
1	8	doorway	9.64584
1	9	scratched	16.008
1	10	the	3.3153
1	11	dog	7.15999
1	12	yawned	18.2304
1	13	.	7.34083
2	1	If	3.98287
2	2	the	1.15982
2	3	clerk	10.1945
2	4	searching	13.6555
2	5	diligently	17.9206
2	6	in	4.17626
2	7	the	1.13519
2	8	shelves	10.5516
2	9	forgets	17.2518
2	10	the	5.34738
2	11	customer	8.99695
2	12	complains	15.6793
2	13	.	7.4314
3	1	As	4.1244
3	2	the	4.03937
3	3	doctor	9.03502
3	4	standing	8.58685
3	5	confidently	13.8509
3	6	by	3.19863
3	7	the	1.25397
3	8	blackboard	10.9755
3	9	lectured	15.0005
3	10	the	1.99352
3	11	student	6.91338
3	12	listened	16.2319
3	13	.	4.95302
4	1	While	4.46616
4	2	the	1.36656
4	3	girls	10.8775
4	4	attending	7.47903
4	5	camp	9.31881
4	6	for	5.21826
4	7	the	1.47939
4	8	summer	5.50069
4	9	raced	10.8731
4	10	the	4.27717
4	11	kids	9.08711
4	12	watched	14.6045
4	13	.	9.70204
5	1	When	10.6799
5	2	the	1.23765
5	3	worker	9.46036
5	4	wearing	12.0166
5	5	suspenders	11.2261
5	6	over	6.26976
5	7	his	3.34612
5	8	shirt	6.85109
5	9	moved	14.8718
5	10	the	5.28483
5	11	boxes	8.19813
5	12	fell	8.3363
5	13	.	2.71504
6	1	As	4.1244
6	2	the	4.03937
6	3	author	7.35468
6	4	studying	14.3366
6	5	Babylon	15.055
6	6	in	3.92187
6	7	ancient	9.15611
6	8	times	4.81738
6	9	wrote	13.6793
6	10	the	3.54186
6	11	book	4.99742
6	12	grew	12.8237
6	13	.	3.05621
7	1	As	4.1244
7	2	the	4.03937
7	3	people	7.6319
7	4	paying	10.6982
7	5	attention	4.47118
7	6	to	0.696459
7	7	the	1.07473
7	8	information	7.42529
7	9	watched	16.2525
7	10	the	10.8783
7	11	show	6.68654
7	12	stopped	19.2321
7	13	.	6.03719
8	1	Whenever	13.0395
8	2	the	1.95687
8	3	children	7.55651
8	4	screaming	13.3557
8	5	loudly	12.4049
8	6	to	4.92324
8	7	get	12.9743
8	8	attention	7.27904
8	9	leave	13.9608
8	10	the	2.61428
8	11	dog	7.01832
8	12	sleeps	13.4675
8	13	.	7.11781
9	1	When	10.6799
9	2	the	1.23765
9	3	aunt	12.2427
9	4	attending	13.0783
9	5	grad	13.9196
9	6	school	6.7757
9	7	in	4.03219
9	8	the	1.75658
9	9	country	4.76824
9	10	visits	18.5136
9	11	the	3.97308
9	12	cousins	12.286
9	13	talk	7.99088
9	14	.	10.3972
10	1	When	10.6799
10	2	the	1.23765
10	3	maid	11.8484
10	4	carrying	13.1676
10	5	socks	10.6888
10	6	and	3.77661
10	7	other	2.09779
10	8	items	4.9683
10	9	packs	16.3051
10	10	the	11.7558
10	11	bag	9.32389
10	12	breaks	7.00679
10	13	.	2.02466
11	1	If	3.98287
11	2	the	1.15982
11	3	locksmith	15.3446
11	4	carrying	12.8447
11	5	grease	12.6555
11	6	and	4.88282
11	7	other	7.91166
11	8	items	5.26356
11	9	turns	15.5574
11	10	the	3.56528
11	11	knob	13.0076
11	12	sticks	12.0748
11	13	.	7.78978
