sentence_id	token_id	token	surprisal
1	1	The	2.75478
1	2	kindergartners	22.3152
1	3	liked	13.9459
1	4	the	2.08308
1	5	little	10.8579
1	6	girl	9.19269
1	7	brought	12.7085
1	8	a	6.22749
1	9	toy	11.9728
1	10	by	7.25403
1	11	her	5.56367
1	12	parents	6.65213
1	13	on	6.56702
1	14	the	1.73973
1	15	first	6.80167
1	16	day	4.10245
1	17	of	3.40219
1	18	UNK-INITC	11.8931
1	19	.	1.80392
2	1	The	2.75478
2	2	kindergartners	22.3152
2	3	liked	13.9459
2	4	the	2.08308
2	5	little	10.8579
2	6	girl	9.19269
2	7	chosen	12.5199
2	8	a	8.52205
2	9	toy	12.4797
2	10	by	7.16067
2	11	her	5.25243
2	12	parents	6.19914
2	13	on	7.69282
2	14	the	1.61903
2	15	first	7.05374
2	16	day	4.02916
2	17	of	3.08239
2	18	UNK-INITC	11.8989
2	19	.	1.79357
3	1	The	2.75478
3	2	kindergartners	22.3152
3	3	liked	13.9459
3	4	the	2.08308
3	5	little	10.8579
3	6	girl	9.19269
3	7	who	3.48499
3	8	was	3.69143
3	9	brought	9.53626
3	10	a	5.7462
3	11	toy	12.3
3	12	by	7.21155
3	13	her	5.58121
3	14	parents	6.46042
3	15	j	25.2056
3	16	on	6.62732
3	17	the	1.8942
3	18	first	6.47674
3	19	day	4.10411
3	20	of	3.52487
3	21	UNK-INITC	11.9161
3	22	.	1.74507
4	1	The	2.75478
4	2	kindergartners	22.3152
4	3	liked	13.9459
4	4	the	2.08308
4	5	little	10.8579
4	6	girl	9.19269
4	7	who	3.48499
4	8	was	3.69143
4	9	chosen	9.14337
4	10	a	8.46635
4	11	toy	13.5256
4	12	by	6.75242
4	13	her	5.10441
4	14	parents	6.09017
4	15	j	25.2399
4	16	on	7.11753
4	17	the	1.84874
4	18	first	6.62609
4	19	day	4.02252
4	20	of	3.19911
4	21	UNK-INITC	11.9334
4	22	.	1.81086
5	1	We	8.09274
5	2	saw	9.0176
5	3	a	2.81167
5	4	movie	10.7609
5	5	about	4.16743
5	6	an	6.47854
5	7	artist	8.02697
5	8	painted	12.0992
5	9	a	6.59165
5	10	picture	8.98101
5	11	by	6.05628
5	12	her	5.29461
5	13	father	4.52506
5	14	while	9.31543
5	15	he	3.37059
5	16	was	2.80688
5	17	on	6.89961
5	18	his	4.6275
5	19	deathbed	11.0015
5	20	.	0.858773
6	1	We	8.09274
6	2	saw	9.0176
6	3	a	2.81167
6	4	movie	10.7609
6	5	about	4.16743
6	6	an	6.47854
6	7	artist	8.02697
6	8	drawn	11.7722
6	9	a	7.11475
6	10	picture	8.47238
6	11	by	5.86405
6	12	her	5.59924
6	13	father	4.81591
6	14	while	9.14568
6	15	he	3.43178
6	16	was	2.79839
6	17	on	6.84241
6	18	his	4.53635
6	19	deathbed	11.0324
6	20	.	0.893627
7	1	We	8.09274
7	2	saw	9.0176
7	3	a	2.81167
7	4	movie	10.7609
7	5	about	4.16743
7	6	an	6.47854
7	7	artist	8.02697
7	8	who	3.13302
7	9	was	3.34877
7	10	painted	10.4695
7	11	a	6.41524
7	12	picture	9.47541
7	13	by	5.71136
7	14	her	5.11993
7	15	father	4.29075
7	16	while	8.99826
7	17	he	3.18007
7	18	was	2.75535
7	19	on	6.82755
7	20	his	4.40299
7	21	deathbed	11.0163
7	22	.	4.77692
8	1	We	8.09274
8	2	saw	9.0176
8	3	a	2.81167
8	4	movie	10.7609
8	5	about	4.16743
8	6	an	6.47854
8	7	artist	8.02697
8	8	who	3.13302
8	9	was	3.34877
8	10	drawn	9.57038
8	11	a	7.74099
8	12	picture	9.06921
8	13	by	5.66319
8	14	her	5.86035
8	15	father	4.68344
8	16	while	8.46104
8	17	he	3.22243
8	18	was	2.73456
8	19	on	6.75031
8	20	his	4.37443
8	21	deathbed	11.0425
8	22	.	5.46536
9	1	The	2.75478
9	2	health	12.9361
9	3	officials	8.57587
9	4	pounced	19.8681
9	5	on	1.04607
9	6	a	3.37385
9	7	restaurant	13.3554
9	8	sent	11.7758
9	9	a	7.78298
9	10	shipment	12.9847
9	11	of	1.71383
9	12	salmon	11.8895
9	13	by	6.01466
9	14	a	2.89772
9	15	company	7.86309
9	16	that	2.58102
9	17	had	5.02774
9	18	failed	10.4745
9	19	to	0.362658
9	20	comply	8.03078
9	21	with	0.23537
9	22	refrigeration	19.409
9	23	laws	8.71028
9	24	.	11.6615
10	1	The	2.75478
10	2	health	12.9361
10	3	officials	8.57587
10	4	pounced	19.8681
10	5	on	1.04607
10	6	a	3.37385
10	7	restaurant	13.3554
10	8	flown	14.972
10	9	a	5.63189
10	10	shipment	14.1902
10	11	of	2.73251
10	12	salmon	11.7744
10	13	by	6.35544
10	14	a	3.2043
10	15	company	8.34218
10	16	that	2.551
10	17	had	5.56537
10	18	failed	10.7342
10	19	to	0.370202
10	20	comply	8.13633
10	21	with	0.239583
10	22	refrigeration	19.3575
10	23	laws	8.69286
10	24	.	5.13491
11	1	The	2.75478
11	2	health	12.9361
11	3	officials	8.57587
11	4	pounced	19.8681
11	5	on	1.04607
11	6	a	3.37385
11	7	restaurant	13.3554
11	8	which	10.8526
11	9	was	3.96729
11	10	sent	8.04887
11	11	a	8.11264
11	12	shipment	12.7881
11	13	of	1.68664
11	14	salmon	11.916
11	15	by	6.54645
11	16	a	2.91071
11	17	company	7.70022
11	18	that	2.53187
11	19	had	4.51756
11	20	failed	10.3615
11	21	to	0.356733
11	22	comply	7.87483
11	23	with	0.237873
11	24	refrigeration	19.3916
11	25	laws	8.74397
11	26	.	14.4706
12	1	The	2.75478
12	2	health	12.9361
12	3	officials	8.57587
12	4	pounced	19.8681
12	5	on	1.04607
12	6	a	3.37385
12	7	restaurant	13.3554
12	8	which	10.8526
12	9	was	3.96729
12	10	flown	11.2438
12	11	a	6.38841
12	12	shipment	14.9482
12	13	of	3.44921
12	14	salmon	11.7631
12	15	by	6.33598
12	16	a	3.20013
12	17	company	8.2555
12	18	that	2.64133
12	19	had	4.85445
12	20	failed	10.6845
12	21	to	0.361981
12	22	comply	7.97444
12	23	with	0.243991
12	24	refrigeration	19.2836
12	25	laws	8.7441
12	26	.	11.0775
13	1	At	7.57698
13	2	the	1.56621
13	3	dinner	10.6193
13	4	UNK-LC	15.2932
13	5	I	8.12946
13	6	met	8.62287
13	7	a	4.71243
13	8	man	7.31759
13	9	allowed	13.4197
13	10	the	7.01238
13	11	pleasure	13.0656
13	12	of	1.87384
13	13	eating	8.79039
13	14	sweets	20.3215
13	15	by	6.5938
13	16	his	6.82503
13	17	doctor	10.6369
13	18	.	1.13415
14	1	At	7.57698
14	2	the	1.56621
14	3	dinner	10.6193
14	4	UNK-LC	15.2932
14	5	I	8.12946
14	6	met	8.62287
14	7	a	4.71243
14	8	man	7.31759
14	9	forbidden	15.5208
14	10	the	7.53222
14	11	pleasure	12.668
14	12	of	1.66728
14	13	eating	8.91583
14	14	sweets	20.4582
14	15	by	6.68572
14	16	his	7.35365
14	17	doctor	10.767
14	18	.	0.897088
15	1	At	7.57698
15	2	the	1.56621
15	3	dinner	10.6193
15	4	UNK-LC	15.2932
15	5	I	8.12946
15	6	met	8.62287
15	7	a	4.71243
15	8	man	7.31759
15	9	who	1.73922
15	10	was	3.60304
15	11	allowed	9.00983
15	12	the	7.97277
15	13	pleasure	12.5615
15	14	of	1.717
15	15	eating	8.65186
15	16	sweets	20.3485
15	17	by	6.35862
15	18	his	6.32914
15	19	doctor	10.7757
15	20	.	1.66212
16	1	At	7.57698
16	2	the	1.56621
16	3	dinner	10.6193
16	4	UNK-LC	15.2932
16	5	I	8.12946
16	6	met	8.62287
16	7	a	4.71243
16	8	man	7.31759
16	9	who	1.73922
16	10	was	3.60304
16	11	forbidden	13.2426
16	12	the	7.76312
16	13	pleasure	12.8501
16	14	of	1.60883
16	15	eating	8.69416
16	16	sweets	20.4572
16	17	by	6.35663
16	18	his	6.98988
16	19	doctor	10.9384
16	20	.	1.69445
17	1	One	7.88168
17	2	expects	12.0972
17	3	a	4.53101
17	4	man	11.4399
17	5	told	15.6881
17	6	his	6.73778
17	7	sins	15.3626
17	8	by	5.87134
17	9	his	4.59014
17	10	own	6.09178
17	11	god	16.5791
17	12	to	2.46092
17	13	have	5.10233
17	14	tolerance	17.6327
17	15	for	1.4952
17	16	weaknesses	16.9383
17	17	in	1.74222
17	18	others	11.7279
17	19	.	0.758423
18	1	One	7.88168
18	2	expects	12.0972
18	3	a	4.53101
18	4	man	11.4399
18	5	forgiven	18.5076
18	6	his	4.96155
18	7	sins	13.6247
18	8	by	7.39363
18	9	his	4.98377
18	10	own	4.99878
18	11	god	16.3468
18	12	to	0.810103
18	13	have	4.89106
18	14	tolerance	17.6032
18	15	for	1.57797
18	16	weaknesses	16.8615
18	17	in	1.80193
18	18	others	11.7843
18	19	.	0.924977
19	1	One	7.88168
19	2	expects	12.0972
19	3	a	4.53101
19	4	man	11.4399
19	5	who	3.35472
19	6	is	3.32739
19	7	told	10.0069
19	8	his	6.61277
19	9	sins	14.9954
19	10	by	6.04096
19	11	his	4.2083
19	12	own	6.12863
19	13	god	16.9696
19	14	to	5.81698
19	15	have	5.76293
19	16	tolerance	17.5161
19	17	for	1.66921
19	18	weaknesses	17.0097
19	19	in	1.97534
19	20	others	11.3648
19	21	.	7.6965
20	1	One	7.88168
20	2	expects	12.0972
20	3	a	4.53101
20	4	man	11.4399
20	5	who	3.35472
20	6	is	3.32739
20	7	forgiven	14.3866
20	8	his	4.29615
20	9	sins	13.6072
20	10	by	7.07202
20	11	his	5.5084
20	12	own	4.3515
20	13	god	15.9956
20	14	to	6.78698
20	15	have	7.18228
20	16	tolerance	17.2109
20	17	for	1.82768
20	18	weaknesses	16.9825
20	19	in	2.05741
20	20	others	11.3609
20	21	.	7.75714
21	1	An	8.06549
21	2	elderly	9.8531
21	3	gentleman	11.8151
