sentence_id	token_id	token	surprisal
1	1	The	1.96109
1	2	kindergartners	15.4758
1	3	liked	9.72137
1	4	the	1.41502
1	5	little	7.50076
1	6	girl	6.34375
1	7	brought	8.458
1	8	a	4.08563
1	9	toy	8.31964
1	10	by	4.86527
1	11	her	3.83651
1	12	parents	4.65695
1	13	on	4.26146
1	14	the	1.08077
1	15	first	4.7886
1	16	day	2.92193
1	17	of	2.69608
1	18	UNK-INITC	8.17738
1	19	.	1.29941
2	1	The	1.92533
2	2	kindergartners	15.4992
2	3	liked	9.67245
2	4	the	1.31604
2	5	little	7.49027
2	6	girl	6.34723
2	7	chosen	8.68798
2	8	a	5.84713
2	9	toy	11.5622
2	10	by	5.41098
2	11	her	4.00726
2	12	parents	4.50675
2	13	on	5.02877
2	14	the	1.13771
2	15	first	4.87017
2	16	day	2.70109
2	17	of	4.07125
2	18	UNK-INITC	8.23925
2	19	.	4.65222
3	1	The	1.95633
3	2	kindergartners	15.4476
3	3	liked	9.70619
3	4	the	1.54072
3	5	little	7.52301
3	6	girl	6.36493
3	7	who	2.15864
3	8	was	2.56023
3	9	brought	6.38055
3	10	a	3.84836
3	11	toy	8.47001
3	12	by	4.09517
3	13	her	3.63004
3	14	parents	4.22111
3	15	j	17.9308
3	16	on	5.9357
3	17	the	1.01289
3	18	first	5.05857
3	19	day	3.08931
3	20	of	1.45206
3	21	UNK-INITC	8.2578
3	22	.	1.33652
4	1	The	2.14553
4	2	kindergartners	15.4153
4	3	liked	9.5472
4	4	the	1.65003
4	5	little	7.4813
4	6	girl	6.33047
4	7	who	2.24685
4	8	was	2.53941
4	9	chosen	6.38708
4	10	a	5.65379
4	11	toy	9.91917
4	12	by	4.29166
4	13	her	3.54126
4	14	parents	4.2189
4	15	j	17.7501
4	16	on	5.04649
4	17	the	1.17304
4	18	first	4.6151
4	19	day	2.77727
4	20	of	1.85096
4	21	UNK-INITC	8.14143
4	22	.	1.41638
5	1	We	5.68002
5	2	saw	6.2287
5	3	a	1.78088
5	4	movie	7.47608
5	5	about	2.7107
5	6	an	4.40421
5	7	artist	5.51372
5	8	painted	8.68044
5	9	a	3.08417
5	10	picture	5.55151
5	11	by	5.00333
5	12	her	3.8166
5	13	father	3.3662
5	14	while	5.47775
5	15	he	2.25678
5	16	was	1.99221
5	17	on	4.67147
5	18	his	3.05355
5	19	deathbed	7.64608
5	20	.	0.386461
6	1	We	5.67151
6	2	saw	6.25866
6	3	a	1.78084
6	4	movie	7.40023
6	5	about	2.58597
6	6	an	4.49386
6	7	artist	5.59061
6	8	drawn	7.81593
6	9	a	4.52903
6	10	picture	5.89368
6	11	by	4.25547
6	12	her	3.78835
6	13	father	3.33077
6	14	while	5.12023
6	15	he	2.64411
6	16	was	1.88896
6	17	on	5.33277
6	18	his	3.09722
6	19	deathbed	7.6437
6	20	.	0.401382
7	1	We	5.69353
7	2	saw	6.27879
7	3	a	1.84581
7	4	movie	7.45043
7	5	about	2.99184
7	6	an	4.49804
7	7	artist	5.51957
7	8	who	1.83836
7	9	was	2.33978
7	10	painted	7.27759
7	11	a	4.60103
7	12	picture	7.09705
7	13	by	4.02816
7	14	her	3.54313
7	15	father	3.15714
7	16	while	10.8752
7	17	he	5.35515
7	18	was	2.16915
7	19	on	4.40324
7	20	his	3.06262
7	21	deathbed	7.70762
