sentence_id	token_id	token	surprisal
1	1	The	1.50112
1	2	woman	8.73988
1	3	brought	17.5772
1	4	the	1.78728
1	5	sandwich	12.1997
1	6	from	13.2176
1	7	the	6.84109
1	8	kitchen	10.932
1	9	fell	7.76806
1	10	in	3.48568
1	11	the	2.89214
1	12	dining	16.728
1	13	room	3.67999
2	1	The	1.50112
2	2	woman	8.73988
2	3	who	17.6004
2	4	was	4.38014
2	5	brought	5.89463
2	6	the	2.29666
2	7	sandwich	12.9178
2	8	from	3.4034
2	9	the	1.36955
2	10	kitchen	8.79651
2	11	fell	13.4841
2	12	in	3.3918
2	13	the	2.33641
2	14	dining	15.3207
2	15	room	3.19225
3	1	The	1.50112
3	2	woman	8.73988
3	3	given	17.7393
3	4	the	2.1873
3	5	sandwich	12.4257
3	6	from	12.7098
3	7	the	6.67321
3	8	kitchen	10.9832
3	9	fell	7.71205
3	10	in	3.5288
3	11	the	2.85097
3	12	dining	16.6803
3	13	room	3.66475
4	1	The	1.50112
4	2	woman	8.73988
4	3	who	17.6004
4	4	was	4.38014
4	5	given	5.19976
4	6	the	1.62341
4	7	sandwich	13.1441
4	8	from	14.8963
4	9	the	4.19549
4	10	kitchen	10.0354
4	11	fell	15.235
4	12	in	3.16542
4	13	the	2.1021
4	14	dining	16.1519
4	15	room	3.85619
5	1	The	1.50112
5	2	convict	15.5693
5	3	walked	20.606
5	4	into	5.75541
5	5	the	1.36588
5	6	dark	7.6554
5	7	cell	11.0316
5	8	tried	10.6596
5	9	to	1.39114
5	10	escape	7.03184
5	11	but	11.9026
5	12	failed	10.1387
6	1	The	1.50112
6	2	convict	15.5693
6	3	who	13.9283
6	4	was	15.1714
6	5	walked	9.74138
6	6	into	2.26099
6	7	the	1.5911
6	8	dark	6.37718
6	9	cell	9.82215
6	10	tried	14.3182
6	11	to	1.37033
6	12	escape	6.47641
6	13	but	13.3065
6	14	failed	11.0145
7	1	The	1.50112
7	2	convict	15.5693
7	3	taken	16.6901
7	4	into	8.04622
7	5	the	1.63893
7	6	dark	7.58054
7	7	cell	10.8327
7	8	tried	10.5013
7	9	to	0.696755
7	10	escape	6.76845
7	11	but	12.1095
7	12	failed	10.4275
8	1	The	1.50112
8	2	convict	15.5693
8	3	who	13.9283
8	4	was	15.1714
8	5	taken	11.5323
8	6	into	14.6755
8	7	the	8.73641
8	8	dark	10.3682
8	9	cell	14.4415
8	10	tried	16.4934
8	11	to	4.14882
8	12	escape	11.6032
8	13	but	9.09936
8	14	failed	8.50927
9	1	The	1.50112
9	2	prisoners	14.5805
9	3	hit	18.5496
9	4	for	9.69961
9	5	hours	14.7091
9	6	and	13.9739
9	7	hours	9.447
9	8	confessed	21.7946
9	9	to	0.0599964
9	10	crimes	10.6178
9	11	they	12.6497
9	12	never	12.4469
9	13	committed	10.8399
10	1	The	1.50112
10	2	prisoners	14.5805
10	3	who	11.4302
10	4	were	3.72559
10	5	hit	7.21012
10	6	for	4.20708
