sentence_id	token_id	token	surprisal
1	1	The	2.5862
1	2	woman	12.0928
1	3	brought	10.9984
1	4	the	2.61603
1	5	sandwich	16.6862
1	6	from	5.15366
1	7	the	2.34677
1	8	kitchen	12.1967
1	9	fell	21.4501
1	10	in	4.37481
1	11	the	3.39485
1	12	dining	22.8327
1	13	room	5.77053
2	1	The	2.5862
2	2	woman	12.0928
2	3	who	8.39088
2	4	was	4.52647
2	5	brought	9.00696
2	6	the	6.79265
2	7	sandwich	18.1572
2	8	from	5.4419
2	9	the	2.00026
2	10	kitchen	12.0744
2	11	fell	11.1521
2	12	in	4.56289
2	13	the	4.18146
2	14	dining	23.3474
2	15	room	6.02867
3	1	The	2.5862
3	2	woman	12.0928
3	3	given	15.7537
3	4	the	2.24349
3	5	sandwich	17.5302
3	6	from	5.88973
3	7	the	2.9042
3	8	kitchen	12.0108
3	9	fell	13.2832
3	10	in	4.49815
3	11	the	4.25626
3	12	dining	23.2382
3	13	room	5.87106
4	1	The	2.5862
4	2	woman	12.0928
4	3	who	8.39088
4	4	was	4.52647
4	5	given	8.9819
4	6	the	2.94842
4	7	sandwich	18.1749
4	8	from	5.94949
4	9	the	2.34875
4	10	kitchen	11.9412
4	11	fell	10.8888
4	12	in	4.70374
4	13	the	4.12765
4	14	dining	23.3535
4	15	room	6.04199
5	1	The	2.5862
5	2	convict	22.2449
5	3	walked	23.4236
5	4	into	2.66033
5	5	the	2.42225
5	6	dark	8.06001
5	7	cell	16.3334
5	8	tried	21.2689
5	9	to	1.18937
5	10	escape	9.50715
5	11	but	12.0227
5	12	failed	9.58192
6	1	The	2.5862
6	2	convict	22.2449
6	3	who	17.4563
6	4	was	4.59324
6	5	walked	17.5457
6	6	into	2.86105
6	7	the	2.22506
6	8	dark	8.86087
6	9	cell	15.237
6	10	tried	15.3201
6	11	to	0.314658
6	12	escape	9.43346
6	13	but	12.2572
6	14	failed	9.18064
7	1	The	2.5862
7	2	convict	22.2449
7	3	taken	23.8443
7	4	into	10.3629
7	5	the	2.44199
7	6	dark	8.94746
7	7	cell	15.6833
7	8	tried	18.703
7	9	to	0.609636
7	10	escape	9.62402
7	11	but	11.2798
7	12	failed	8.39537
8	1	The	2.5862
8	2	convict	22.2449
8	3	who	17.4563
8	4	was	4.59324
8	5	taken	9.57706
8	6	into	5.41804
8	7	the	2.54341
8	8	dark	9.59889
8	9	cell	15.354
8	10	tried	16.5934
8	11	to	0.31374
8	12	escape	9.39161
8	13	but	12.4269
8	14	failed	9.27258
9	1	The	2.5862
9	2	prisoners	20.6769
9	3	hit	12.0186
9	4	for	8.05924
9	5	hours	12.5817
9	6	and	4.7887
9	7	hours	12.7104
9	8	confessed	20.9241
9	9	to	0.277319
9	10	crimes	15.3402
9	11	they	9.00554
9	12	never	12.0259
9	13	committed	11.7332
10	1	The	2.5862
10	2	prisoners	20.6769
10	3	who	8.47956
10	4	were	5.75695
10	5	hit	11.2855
10	6	for	6.7646
10	7	hours	11.5006
10	8	and	6.07859
10	9	hours	10.8911
10	10	confessed	17.9526
10	11	to	0.801236
10	12	crimes	16.3312
10	13	they	8.40602
10	14	never	11.3977
10	15	committed	11.6772
11	1	The	2.5862
11	2	prisoners	20.6769
11	3	beaten	17.8766
11	4	for	6.93681
11	5	hours	12.6917
11	6	and	5.07694
11	7	hours	12.5544
11	8	confessed	19.3244
11	9	to	0.486414
11	10	crimes	15.6568
11	11	they	8.2552
11	12	never	11.6504
11	13	committed	11.8444
12	1	The	2.5862
12	2	prisoners	20.6769
12	3	who	8.47956
12	4	were	5.75695
12	5	beaten	13.0393
12	6	for	6.25258
12	7	hours	11.3183
12	8	and	5.76179
12	9	hours	11.3119
12	10	confessed	17.847
12	11	to	0.725852
12	12	crimes	15.936
12	13	they	8.31037
12	14	never	11.2213
12	15	committed	11.7852
13	1	The	2.5862
13	2	business	11.6522
13	3	expanded	12.5674
13	4	into	7.57235
13	5	an	5.59736
13	6	empire	22.352
13	7	was	17.667
13	8	sold	6.78714
13	9	for	3.65035
13	10	billions	13.0251
13	11	of	0.170525
13	12	dollars	3.23215
14	1	The	2.5862
14	2	business	11.6522
14	3	that	8.54437
14	4	was	4.92639
14	5	expanded	12.3391
14	6	into	6.69775
14	7	an	6.48734
14	8	empire	21.6404
14	9	was	4.02536
14	10	sold	6.18088
14	11	for	3.46772
14	12	billions	12.605
14	13	of	0.172967
14	14	dollars	3.16068
15	1	The	2.5862
15	2	business	11.6522
15	3	grown	21.9359
15	4	into	7.21075
15	5	an	6.55079
15	6	empire	24.4949
15	7	was	4.45543
15	8	sold	5.41601
15	9	for	3.61205
15	10	billions	12.76
15	11	of	0.168549
15	12	dollars	3.13305
16	1	The	2.5862
16	2	business	11.6522
16	3	that	8.54437
16	4	was	4.92639
16	5	grown	11.5557
16	6	into	6.23069
16	7	an	6.68105
16	8	empire	24.093
16	9	was	3.72146
16	10	sold	6.513
16	11	for	3.87229
16	12	billions	12.7097
16	13	of	0.168664
16	14	dollars	3.12434
17	1	The	2.5862
