sentence_id	token_id	token	surprisal
1	1	The	1.91174
1	2	woman	8.36519
1	3	brought	7.34798
1	4	the	2.08758
1	5	sandwich	10.0295
1	6	from	3.66697
1	7	the	1.28969
1	8	kitchen	5.40351
1	9	fell	14.171
1	10	in	3.3786
1	11	the	1.715
1	12	dining	7.79484
1	13	room	0.739473
2	1	The	2.0086
2	2	woman	8.63715
2	3	who	3.51567
2	4	was	2.87909
2	5	brought	5.97791
2	6	the	3.87478
2	7	sandwich	10.1042
2	8	from	3.66077
2	9	the	1.16893
2	10	kitchen	5.38217
2	11	fell	8.33561
2	12	in	2.92578
2	13	the	1.87901
2	14	dining	7.94323
2	15	room	0.739041
3	1	The	1.91972
3	2	woman	8.39019
3	3	given	9.54478
3	4	the	1.93591
3	5	sandwich	10.1246
3	6	from	5.87965
3	7	the	1.13615
3	8	kitchen	5.91268
3	9	fell	7.89872
3	10	in	2.82193
3	11	the	1.71008
3	12	dining	7.8229
3	13	room	0.722977
4	1	The	1.99704
4	2	woman	8.43384
4	3	who	3.00487
4	4	was	2.89613
4	5	given	5.11567
4	6	the	1.90245
4	7	sandwich	10.4626
4	8	from	4.92946
4	9	the	1.12498
4	10	kitchen	5.91278
4	11	fell	7.65514
4	12	in	2.83335
4	13	the	1.68568
4	14	dining	7.81523
4	15	room	0.710091
5	1	The	2.07353
5	2	convict	12.9586
5	3	walked	8.67208
5	4	into	2.11215
5	5	the	1.06469
5	6	dark	6.07104
5	7	cell	8.96397
5	8	tried	14.2439
5	9	to	1.03436
5	10	escape	4.87654
5	11	but	9.75927
5	12	failed	10.5116
6	1	The	1.90089
6	2	convict	13.0785
6	3	who	3.92131
6	4	was	2.78663
6	5	walked	11.2921
6	6	into	2.18544
6	7	the	0.839909
6	8	dark	6.43079
6	9	cell	9.14722
6	10	tried	7.90518
6	11	to	0.273286
6	12	escape	5.29264
6	13	but	10.4158
6	14	failed	9.5078
7	1	The	1.79339
7	2	convict	13.0268
7	3	taken	10.0847
7	4	into	2.93295
7	5	the	0.930624
7	6	dark	7.57148
7	7	cell	9.16679
7	8	tried	7.70436
7	9	to	0.209845
7	10	escape	5.33381
7	11	but	8.74298
7	12	failed	9.25828
8	1	The	1.92134
8	2	convict	12.9749
8	3	who	4.61446
8	4	was	2.75151
8	5	taken	5.47367
8	6	into	2.9203
8	7	the	1.06764
8	8	dark	7.67634
8	9	cell	9.39634
8	10	tried	7.81166
8	11	to	0.188964
8	12	escape	5.46165
8	13	but	9.12755
8	14	failed	9.08587
9	1	The	1.96035
9	2	prisoners	11.8406
9	3	hit	7.86074
9	4	for	6.75637
9	5	hours	5.68204
9	6	and	2.40492
9	7	hours	6.9657
9	8	confessed	14.0712
9	9	to	0.597922
9	10	crimes	7.09296
9	11	they	11.3933
9	12	never	7.7821
9	13	committed	7.35129
10	1	The	1.95231
10	2	prisoners	11.8946
10	3	who	4.18134
10	4	were	3.23335
10	5	hit	6.86849
10	6	for	4.98829
10	7	hours	5.49032
10	8	and	7.76579
10	9	hours	7.95546
10	10	confessed	10.9661
10	11	to	0.883936
10	12	crimes	7.46447
10	13	they	5.32629
10	14	never	5.40926
10	15	committed	7.29278
11	1	The	1.73994
11	2	prisoners	11.892
11	3	beaten	10.995
11	4	for	5.67721
11	5	hours	6.05632
11	6	and	2.12547
11	7	hours	6.73113
11	8	confessed	13.3429
11	9	to	0.774833
11	10	crimes	7.24783
11	11	they	14.721
11	12	never	6.76863
11	13	committed	7.39047
12	1	The	1.97762
12	2	prisoners	11.8695
12	3	who	3.48821
12	4	were	3.17062
12	5	beaten	6.87058
12	6	for	4.33005
12	7	hours	5.54791
12	8	and	3.10367
12	9	hours	3.14012
12	10	confessed	11.0678
12	11	to	0.81732
12	12	crimes	7.31802
12	13	they	14.9756
12	14	never	5.40344
12	15	committed	7.14979
13	1	The	1.74937
13	2	business	7.73057
13	3	expanded	8.36449
13	4	into	5.96911
13	5	an	3.99327
13	6	empire	5.8392
13	7	was	11.7646
13	8	sold	3.77299
13	9	for	2.83875
13	10	billions	9.49128
13	11	of	0.902764
13	12	dollars	0.0293836
14	1	The	1.9722
14	2	business	7.743
14	3	that	9.65271
14	4	was	4.14214
14	5	expanded	9.06973
14	6	into	5.37077
14	7	an	4.26547
14	8	empire	6.09739
14	9	was	11.2954
14	10	sold	3.64752
14	11	for	2.9968
14	12	billions	9.00382
14	13	of	0.388597
14	14	dollars	0.0263352
15	1	The	2.0313
15	2	business	7.69965
15	3	grown	15.4419
15	4	into	5.76974
15	5	an	3.63517
15	6	empire	6.8287
15	7	was	11.9149
15	8	sold	4.52066
15	9	for	2.71301
15	10	billions	9.00824
15	11	of	0.817701
15	12	dollars	0.026175
16	1	The	1.90004
16	2	business	7.75955
16	3	that	4.62109
16	4	was	2.74639
16	5	grown	9.36129
16	6	into	4.4157
16	7	an	4.78265
16	8	empire	6.34132
16	9	was	2.34357
16	10	sold	5.55928
16	11	for	2.9893
16	12	billions	8.65393
16	13	of	0.81029
16	14	dollars	0.0409459
17	1	The	1.83749
17	2	mice	11.7296
17	3	consumed	8.94809
17	4	rapidly	12.395
17	5	and	3.20474
17	6	entirely	11.2317
17	7	were	6.51818
17	8	carrying	7.17251
17	9	a	2.45276
17	10	rare	6.56082
17	11	bacteria	7.89694
18	1	The	1.90845
18	2	mice	11.6606
18	3	that	4.25497
18	4	were	3.98569
18	5	consumed	6.07996
18	6	rapidly	11.07
18	7	and	6.90682
18	8	entirely	8.50454
18	9	were	5.37781
18	10	carrying	7.24472
18	11	a	2.22701
18	12	rare	6.0486
18	13	bacteria	7.98486
19	1	The	1.81239
19	2	mice	11.6384
19	3	consumed	9.41071
19	4	rapidly	11.0182
19	5	and	4.58825
19	6	entirely	11.5854
19	7	were	7.52707
19	8	carrying	7.25736
19	9	a	2.49287
19	10	rare	6.60713
19	11	bacteria	8.00454
20	1	The	1.96985
20	2	mice	11.5051
20	3	that	12.7544
20	4	were	5.11808
20	5	consumed	6.98753
20	6	rapidly	9.54676
20	7	and	3.79402
20	8	entirely	8.1258
20	9	were	10.2833
20	10	carrying	8.67436
20	11	a	2.49765
20	12	rare	6.37793
20	13	bacteria	8.04238
21	1	The	1.84562
21	2	lawyer	8.25367
21	3	pledged	9.86304
21	4	to	0.455847
21	5	keep	4.97635
21	6	silent	13.3079
21	7	was	14.3557
21	8	discovered	11.7051
21	9	to	4.3599
21	10	have	3.14104
21	11	broken	5.66687
21	12	his	3.73802
21	13	promise	7.31472
22	1	The	1.96316
22	2	lawyer	8.18794
22	3	that	9.88882
22	4	was	2.85213
22	5	pledged	10.0894
22	6	to	0.562328
22	7	keep	5.3057
22	8	silent	9.72639
22	9	was	2.87853
22	10	discovered	7.7775
22	11	to	1.42826
22	12	have	2.21683
22	13	broken	6.42033
22	14	his	3.80297
22	15	promise	7.27222
23	1	The	1.96313
23	2	lawyer	8.22019
23	3	committed	10.5884
23	4	to	1.87028
23	5	keep	5.26026
23	6	silent	9.43305
23	7	was	12.697
23	8	discovered	7.33045
23	9	to	2.81383
23	10	have	3.05247
23	11	broken	5.73774
23	12	his	3.32355
23	13	promise	7.5619
24	1	The	1.90397
24	2	lawyer	8.26242
24	3	who	13.8796
24	4	was	4.41485
24	5	committed	7.87496
24	6	to	0.104154
24	7	keep	6.9816
24	8	silent	13.4078
24	9	was	10.8953
24	10	discovered	8.49685
24	11	to	3.48416
24	12	have	4.59212
24	13	broken	6.4575
24	14	his	3.00089
24	15	promise	7.44622
25	1	The	1.97286
25	2	child	9.6839
25	3	kicked	10.5419
25	4	in	1.61109
25	5	the	2.16921
25	6	chaos	9.92112
25	7	found	7.96523
25	8	her	9.68316
25	9	way	6.7671
25	10	back	5.39186
25	11	home	8.69102
26	1	The	1.80483
26	2	child	9.68849
26	3	who	14.0381
26	4	was	4.09019
26	5	kicked	7.84166
26	6	in	1.9647
26	7	the	2.79517
26	8	chaos	10.3502
26	9	found	8.59613
26	10	her	10.6281
26	11	way	6.5181
26	12	back	4.28785
26	13	home	9.51493
27	1	The	1.97888
27	2	child	9.67836
27	3	forgotten	11.6587
27	4	in	3.83012
27	5	the	1.10431
27	6	chaos	9.05758
27	7	found	6.76261
27	8	her	4.68511
27	9	way	6.71263
27	10	back	7.2171
27	11	home	7.09039
28	1	The	2.0598
28	2	child	9.74932
28	3	who	14.1176
28	4	was	4.50484
28	5	forgotten	9.22353
28	6	in	2.39972
28	7	the	1.36506
28	8	chaos	8.40474
28	9	found	7.46256
28	10	her	8.3502
28	11	way	6.7848
28	12	back	6.96223
28	13	home	7.37977
29	1	The	1.92317
29	2	horses	12.0585
29	3	UNK-LC-ed	9.24933
29	4	past	7.84295
29	5	the	1.52124
29	6	barn	9.14254
29	7	fell	8.33237
29	8	into	3.50174
29	9	a	1.98852
29	10	swamp	9.33786
30	1	The	2.08526
30	2	horses	12.0731
30	3	that	4.79543
30	4	were	3.40865
30	5	UNK-LC-ed	6.56645
30	6	past	8.44629
30	7	the	1.34547
30	8	barn	8.97425
30	9	fell	6.58549
30	10	into	3.76309
30	11	a	1.97449
30	12	swamp	9.2673
31	1	The	1.85306
