sentence_id	token_id	token	surprisal
1	1	The	2.05388
1	2	woman	8.40811
1	3	brought	7.5394
1	4	the	1.89557
1	5	sandwich	10.0439
1	6	from	3.64774
1	7	the	1.42261
1	8	kitchen	5.34322
1	9	fell	9.69042
1	10	in	2.8403
1	11	the	1.71619
1	12	dining	7.89395
1	13	room	0.705915
2	1	The	1.82392
2	2	woman	8.5401
2	3	who	3.56445
2	4	was	2.85556
2	5	brought	6.08606
2	6	the	4.36973
2	7	sandwich	10.1975
2	8	from	4.09943
2	9	the	1.1582
2	10	kitchen	5.2795
2	11	fell	8.09005
2	12	in	2.82473
2	13	the	1.68558
2	14	dining	7.85257
2	15	room	0.746655
3	1	The	1.79594
3	2	woman	8.39036
3	3	given	8.22517
3	4	the	2.01622
3	5	sandwich	10.1679
3	6	from	5.17226
3	7	the	1.15967
3	8	kitchen	5.86317
3	9	fell	7.72472
3	10	in	2.67957
3	11	the	1.67197
3	12	dining	7.83978
3	13	room	0.76452
4	1	The	1.88928
4	2	woman	8.5223
4	3	who	4.25938
4	4	was	2.81969
4	5	given	5.25672
4	6	the	1.94328
4	7	sandwich	10.3257
4	8	from	4.81106
4	9	the	1.16759
4	10	kitchen	5.91815
4	11	fell	8.21821
4	12	in	2.88157
4	13	the	1.64639
4	14	dining	7.7779
4	15	room	0.706673
5	1	The	1.88252
5	2	convict	12.9321
5	3	walked	8.80561
5	4	into	1.90209
5	5	the	1.0359
5	6	dark	6.09566
5	7	cell	9.07025
5	8	tried	15.824
5	9	to	1.05275
5	10	escape	4.96326
5	11	but	8.0688
5	12	failed	10.9259
6	1	The	1.85373
6	2	convict	12.966
6	3	who	3.56471
6	4	was	2.75888
6	5	walked	11.0857
6	6	into	2.19416
6	7	the	0.834505
6	8	dark	6.47726
6	9	cell	9.29828
6	10	tried	8.22556
6	11	to	0.246995
6	12	escape	5.24355
6	13	but	7.03176
6	14	failed	5.83365
7	1	The	1.8184
7	2	convict	13.0493
7	3	taken	9.19672
7	4	into	2.844
7	5	the	0.888612
7	6	dark	7.66863
7	7	cell	9.49987
7	8	tried	7.35108
7	9	to	0.144582
7	10	escape	5.23482
7	11	but	8.15331
7	12	failed	10.7112
8	1	The	1.84833
8	2	convict	12.9996
8	3	who	13.7534
8	4	was	5.40463
8	5	taken	5.43637
8	6	into	2.83144
8	7	the	1.37402
8	8	dark	7.20911
8	9	cell	9.36944
8	10	tried	15.8052
8	11	to	1.93585
8	12	escape	6.12819
8	13	but	8.16088
8	14	failed	9.87701
9	1	The	1.76902
9	2	prisoners	11.8636
9	3	hit	7.66734
9	4	for	6.37503
9	5	hours	5.50367
9	6	and	5.80379
9	7	hours	4.8953
9	8	confessed	15.9433
9	9	to	1.29956
9	10	crimes	7.10486
9	11	they	5.04695
9	12	never	4.85952
9	13	committed	7.23099
10	1	The	1.75906
10	2	prisoners	11.8387
10	3	who	4.5178
10	4	were	3.22659
10	5	hit	6.91185
10	6	for	4.93916
10	7	hours	5.35703
10	8	and	3.60278
10	9	hours	1.97586
10	10	confessed	11.2358
10	11	to	0.720242
10	12	crimes	7.16719
10	13	they	4.28451
10	14	never	5.06701
10	15	committed	7.35948
11	1	The	1.89341
11	2	prisoners	11.8339
11	3	beaten	10.8774
11	4	for	5.35197
11	5	hours	5.95045
11	6	and	2.60299
11	7	hours	3.58439
11	8	confessed	12.8309
11	9	to	0.714294
11	10	crimes	7.34811
11	11	they	5.05164
11	12	never	4.82484
11	13	committed	7.34281
12	1	The	1.88098
12	2	prisoners	11.8708
12	3	who	14.2585
12	4	were	3.71481
12	5	beaten	6.2468
12	6	for	4.33068
12	7	hours	5.17771
12	8	and	3.21468
12	9	hours	3.10514
12	10	confessed	15.5947
12	11	to	1.09415
12	12	crimes	7.29135
12	13	they	4.91079
12	14	never	5.82792
12	15	committed	7.36911
13	1	The	1.94873
13	2	business	7.76972
13	3	expanded	8.22793
13	4	into	5.79786
13	5	an	3.98623
13	6	empire	5.89221
13	7	was	11.4866
13	8	sold	4.11699
13	9	for	2.80624
13	10	billions	9.06464
13	11	of	0.689379
13	12	dollars	0.0473043
14	1	The	1.9004
14	2	business	7.7957
14	3	that	13.7316
14	4	was	3.59729
14	5	expanded	8.93153
14	6	into	5.43461
14	7	an	4.27201
14	8	empire	6.07057
14	9	was	11.1335
14	10	sold	3.41498
14	11	for	2.76257
14	12	billions	9.12697
14	13	of	0.448927
14	14	dollars	0.0282561
15	1	The	1.93114
15	2	business	7.75804
15	3	grown	13.8501
15	4	into	4.3952
15	5	an	5.4875
15	6	empire	5.99213
15	7	was	3.26145
15	8	sold	5.29545
15	9	for	2.78864
15	10	billions	8.73223
15	11	of	0.573117
15	12	dollars	0.0383159
16	1	The	1.93533
16	2	business	7.73553
16	3	that	10.6165
16	4	was	2.67134
16	5	grown	9.16594
16	6	into	5.20433
16	7	an	4.23404
16	8	empire	6.78479
16	9	was	10.0816
16	10	sold	4.94832
16	11	for	3.11927
16	12	billions	8.6151
16	13	of	0.394956
16	14	dollars	0.0404254
17	1	The	1.91234
17	2	mice	11.5554
17	3	consumed	9.12909
17	4	rapidly	13.3228
17	5	and	2.79755
17	6	entirely	11.9795
17	7	were	6.53819
17	8	carrying	7.20773
17	9	a	2.72005
17	10	rare	6.52422
17	11	bacteria	7.91032
18	1	The	2.04511
18	2	mice	11.6311
18	3	that	12.6349
18	4	were	5.18387
18	5	consumed	6.51797
18	6	rapidly	8.7927
18	7	and	4.2774
18	8	entirely	8.53112
18	9	were	9.05215
18	10	carrying	8.16964
18	11	a	2.65267
18	12	rare	6.35666
18	13	bacteria	8.03837
19	1	The	1.89471
19	2	mice	11.6442
19	3	consumed	9.46241
19	4	rapidly	10.1365
19	5	and	6.08532
19	6	entirely	12.7831
19	7	were	6.81315
19	8	carrying	7.07206
19	9	a	2.46112
19	10	rare	6.60839
19	11	bacteria	7.93305
20	1	The	1.8805
20	2	mice	11.7842
20	3	that	9.40662
20	4	were	3.97369
20	5	consumed	6.88486
20	6	rapidly	9.13971
20	7	and	4.63174
20	8	entirely	9.06314
20	9	were	9.923
20	10	carrying	8.26405
20	11	a	2.75398
20	12	rare	6.25728
20	13	bacteria	7.98935
21	1	The	1.88317
21	2	lawyer	8.22272
21	3	pledged	9.84311
21	4	to	0.471328
21	5	keep	4.96381
21	6	silent	13.5252
21	7	was	12.5228
21	8	discovered	9.22106
21	9	to	5.39475
21	10	have	6.99489
21	11	broken	5.9707
21	12	his	4.03024
21	13	promise	7.47541
22	1	The	1.96014
22	2	lawyer	8.22115
22	3	that	10.0832
22	4	was	2.7458
22	5	pledged	10.0494
22	6	to	0.622897
22	7	keep	4.99923
22	8	silent	9.55126
22	9	was	9.09611
22	10	discovered	8.51546
22	11	to	3.16477
22	12	have	3.06963
22	13	broken	5.41853
22	14	his	4.01919
22	15	promise	7.38532
23	1	The	1.9677
23	2	lawyer	8.25106
23	3	committed	10.2849
23	4	to	2.19814
23	5	keep	5.56484
23	6	silent	13.4014
23	7	was	12.3333
23	8	discovered	10.3166
23	9	to	3.91268
23	10	have	4.87161
23	11	broken	7.62462
23	12	his	3.40886
23	13	promise	7.18667
24	1	The	1.85614
24	2	lawyer	8.31898
24	3	who	13.8218
24	4	was	4.63983
24	5	committed	8.06337
24	6	to	0.190843
24	7	keep	7.00925
24	8	silent	13.7135
24	9	was	12.4169
24	10	discovered	7.85585
24	11	to	3.05892
24	12	have	3.29125
24	13	broken	5.44388
24	14	his	3.29805
24	15	promise	7.66943
25	1	The	1.8637
25	2	child	9.68151
25	3	kicked	10.1094
25	4	in	1.81984
25	5	the	2.03197
25	6	chaos	9.86156
25	7	found	6.2395
25	8	her	7.10571
25	9	way	7.98702
25	10	back	9.44434
25	11	home	8.25653
26	1	The	1.88903
26	2	child	9.6686
26	3	who	3.28833
26	4	was	3.39848
26	5	kicked	8.03996
26	6	in	1.762
26	7	the	2.69641
26	8	chaos	10.4033
26	9	found	6.4402
26	10	her	4.70657
26	11	way	7.09282
26	12	back	5.95598
26	13	home	7.18001
27	1	The	1.95354
27	2	child	9.64367
27	3	forgotten	12.7325
27	4	in	2.97875
27	5	the	1.01564
27	6	chaos	9.07766
27	7	found	6.63526
27	8	her	5.42748
27	9	way	6.83498
27	10	back	10.9346
27	11	home	7.52793
28	1	The	1.9994
28	2	child	9.71673
28	3	who	14.4069
28	4	was	4.41386
28	5	forgotten	9.13548
28	6	in	2.51968
28	7	the	1.45236
28	8	chaos	8.53552
28	9	found	7.28213
28	10	her	7.79874
28	11	way	7.20171
28	12	back	5.89045
28	13	home	6.57561
29	1	The	2.03951
29	2	horses	12.0812
29	3	UNK-LC-ed	8.79557
29	4	past	8.38679
29	5	the	1.34636
29	6	barn	9.00863
29	7	fell	7.57259
29	8	into	3.65648
29	9	a	1.98327
29	10	swamp	9.25873
30	1	The	1.84715
30	2	horses	12.1099
30	3	that	3.05257
30	4	were	3.36345
30	5	UNK-LC-ed	6.72979
30	6	past	8.06997
30	7	the	1.24163
30	8	barn	8.95884
30	9	fell	6.43763
30	10	into	4.03257
30	11	a	1.96472
30	12	swamp	9.31035
31	1	The	1.98083
31	2	horses	12.0816
31	3	taken	8.20561
31	4	past	7.47786
31	5	the	1.07382
31	6	barn	8.6688
31	7	fell	6.90983
31	8	into	3.81384
31	9	a	1.8998
31	10	swamp	9.33401
32	1	The	2.02563
32	2	horses	12.0992
32	3	that	3.7482
32	4	were	3.5154
32	5	taken	5.46724
32	6	past	7.3431
32	7	the	1.25974
32	8	barn	8.75168
32	9	fell	6.47687
32	10	into	3.57441
32	11	a	1.95428
32	12	swamp	9.39392
33	1	The	1.88862
33	2	artist	10.0843
33	3	painted	8.80412
33	4	a	1.40744
33	5	impressionist	12.3938
33	6	portrait	5.22519
33	7	was	11.3934
33	8	impressed	10.2749
33	9	with	1.39122
33	10	the	1.11238
33	11	work	7.68663
34	1	The	1.88056
34	2	artist	10.1299
34	3	who	13.6234
34	4	was	3.95014
34	5	painted	7.70974
34	6	a	4.74182
34	7	impressionist	12.4323
34	8	portrait	5.96831
34	9	was	12.5801
34	10	impressed	8.56027
34	11	with	1.03684
34	12	the	1.14403
34	13	work	7.56823
35	1	The	1.86961
35	2	artist	10.0333
35	3	drawn	12.4124
35	4	a	2.05734
35	5	impressionist	12.8356
35	6	portrait	5.61167
35	7	was	11.5855
35	8	impressed	10.498
35	9	with	1.28209
35	10	the	1.08713
35	11	work	7.65193
36	1	The	1.88628
36	2	artist	10.0047
36	3	who	13.9812
36	4	was	3.60508
36	5	drawn	6.39833
36	6	a	6.19111
36	7	impressionist	13.3734
36	8	portrait	5.97805
36	9	was	12.7997
36	10	impressed	8.38551
36	11	with	1.18193
36	12	the	1.09395
36	13	work	7.61986
37	1	The	1.97551
37	2	car	7.89036
37	3	steered	13.5954
37	4	into	2.27656
37	5	the	1.54466
37	6	parking	9.24396
37	7	lot	2.97856
37	8	crashed	17.6573
37	9	into	5.25535
37	10	a	2.23401
37	11	concrete	8.28926
37	12	wall	5.27609
38	1	The	1.83185
38	2	car	7.93068
38	3	that	4.26027
38	4	was	2.53517
38	5	steered	11.4733
38	6	into	1.48765
38	7	the	1.26137
38	8	parking	9.10738
38	9	lot	3.44949
38	10	crashed	10.6947
38	11	into	3.77499
38	12	a	1.95069
38	13	concrete	8.41734
38	14	wall	5.17786
39	1	The	1.90679
39	2	car	7.89523
39	3	driven	12.516
39	4	into	3.46554
39	5	the	1.50789
39	6	parking	8.91169
39	7	lot	2.93506
39	8	crashed	16.9374
39	9	into	4.98969
39	10	a	2.04952
39	11	concrete	8.54523
39	12	wall	5.0985
40	1	The	1.76549
40	2	car	7.88114
40	3	that	13.2328
40	4	was	3.16441
40	5	driven	7.06778
40	6	into	3.66885
40	7	the	1.43255
40	8	parking	9.18213
40	9	lot	2.8573
40	10	crashed	16.6875
40	11	into	3.65458
40	12	a	2.31485
40	13	concrete	8.3169
40	14	wall	5.10141
41	1	The	1.97707
41	2	campaign	6.89866
41	3	intended	9.2232
41	4	to	0.241089
41	5	be	3.67485
41	6	very	6.34921
41	7	popular	4.38622
41	8	was	4.29667
41	9	still	6.01659
41	10	unsuccessful	8.17549
42	1	The	2.05776
42	2	campaign	6.9181
42	3	that	11.2649
42	4	was	3.00511
42	5	intended	5.48563
42	6	to	0.256141
42	7	be	3.83559
42	8	very	5.81743
42	9	popular	4.55435
42	10	was	12.7366
42	11	still	6.74061
42	12	unsuccessful	7.89268
43	1	The	1.94701
43	2	campaign	6.96606
43	3	known	9.07864
43	4	to	4.17277
43	5	be	0.861853
43	6	very	7.77763
43	7	popular	4.48836
43	8	was	2.64605
43	9	still	5.23886
43	10	unsuccessful	7.55413
44	1	The	2.02906
44	2	campaign	6.97554
44	3	that	10.4762
44	4	was	6.09966
44	5	known	7.72837
44	6	to	1.78881
44	7	be	0.844318
44	8	very	5.85666
44	9	popular	4.47741
44	10	was	13.0547
44	11	still	6.7233
44	12	unsuccessful	7.97237
45	1	The	2.03291
45	2	student	9.28278
45	3	composed	12.2975
45	4	a	2.17625
45	5	carefully	9.37624
45	6	worded	4.52888
45	7	excuse	10.0432
45	8	forgot	15.0797
45	9	to	1.60752
45	10	give	5.12886
45	11	it	3.58393
45	12	to	2.95178
45	13	the	1.1114
45	14	teacher	7.6449
46	1	The	1.93693
46	2	student	9.27869
46	3	who	4.25232
46	4	was	2.97191
46	5	composed	9.27843
46	6	a	12.0032
46	7	carefully	6.90686
46	8	worded	12.5532
46	9	excuse	13.8951
46	10	forgot	9.89731
46	11	to	1.20824
46	12	give	4.80489
46	13	it	3.16165
46	14	to	2.44194
46	15	the	1.34838
46	16	teacher	7.62727
47	1	The	1.95187
47	2	student	9.28341
47	3	written	10.532
47	4	a	1.92772
47	5	carefully	11.8682
47	6	worded	12.6495
47	7	excuse	11.2989
47	8	forgot	15.6769
47	9	to	1.79564
47	10	give	4.7354
47	11	it	3.3406
47	12	to	2.99449
47	13	the	1.10766
47	14	teacher	7.82704
48	1	The	1.95996
48	2	student	9.27557
48	3	who	2.86766
48	4	was	2.91909
48	5	written	7.66118
48	6	a	5.1684
48	7	carefully	8.43299
48	8	worded	4.41334
48	9	excuse	11.589
48	10	forgot	10.4205
48	11	to	1.24902
48	12	give	4.7663
48	13	it	3.07442
48	14	to	2.67611
48	15	the	2.09303
48	16	teacher	7.48664
49	1	The	2.08472
49	2	television	8.6909
49	3	show	3.8869
49	4	started	6.85288
49	5	three	5.81117
49	6	weeks	2.03637
49	7	ago	0.213323
49	8	was	11.4709
49	9	canceled	7.21024
49	10	immediately	8.8658
50	1	The	1.83113
50	2	television	8.6826
50	3	show	3.90683
50	4	that	9.69004
50	5	was	3.10375
50	6	started	7.33776
50	7	three	6.10209
50	8	weeks	1.73606
50	9	ago	0.0619213
50	10	was	2.32061
50	11	canceled	6.67149
50	12	immediately	8.80299
51	1	The	1.97498
51	2	television	8.7243
51	3	show	3.83967
51	4	begun	11.8328
51	5	three	5.32228
51	6	weeks	1.63672
51	7	ago	0.186743
51	8	was	10.7065
51	9	canceled	7.33101
51	10	immediately	8.03806
52	1	The	1.87521
52	2	television	8.69834
52	3	show	3.81786
52	4	that	10.3823
52	5	was	3.38207
52	6	begun	8.66456
52	7	three	6.74125
