sentence_id	token_id	token	surprisal
1	1	The	1.78359
1	2	woman	8.39343
1	3	brought	8.07742
1	4	the	1.67741
1	5	sandwich	11.4065
1	6	from	3.17505
1	7	the	1.59227
1	8	kitchen	8.42327
1	9	fell	15.4126
1	10	in	3.12974
1	11	the	2.48735
1	12	dining	15.6708
1	13	room	3.93887
2	1	The	1.94724
2	2	woman	8.33389
2	3	who	12.7736
2	4	was	4.02529
2	5	brought	6.18592
2	6	the	3.90072
2	7	sandwich	12.9038
2	8	from	3.12734
2	9	the	1.5672
2	10	kitchen	8.79643
2	11	fell	14.5107
2	12	in	3.30748
2	13	the	2.60865
2	14	dining	16.0635
2	15	room	4.25196
3	1	The	1.93002
3	2	woman	8.45495
3	3	given	10.8929
3	4	the	1.64805
3	5	sandwich	11.9668
3	6	from	3.40671
3	7	the	2.391
3	8	kitchen	8.52145
3	9	fell	15.116
3	10	in	3.21941
3	11	the	2.29614
3	12	dining	15.0967
3	13	room	4.00925
4	1	The	1.85846
4	2	woman	8.40103
4	3	who	12.2189
4	4	was	3.9814
4	5	given	5.44945
4	6	the	1.84164
4	7	sandwich	13.244
4	8	from	3.40208
4	9	the	1.84758
4	10	kitchen	8.5045
4	11	fell	14.9836
4	12	in	4.16427
4	13	the	2.35302
4	14	dining	15.6125
4	15	room	4.50723
5	1	The	1.75765
5	2	convict	15.4276
5	3	walked	21.0552
5	4	into	6.48929
5	5	the	1.35811
5	6	dark	7.76706
5	7	cell	11.2525
5	8	tried	11.1089
5	9	to	0.346416
5	10	escape	6.78533
5	11	but	11.1683
5	12	failed	11.6796
6	1	The	1.79209
6	2	convict	15.563
6	3	who	11.8549
6	4	was	3.0775
6	5	walked	12.3041
6	6	into	2.07833
6	7	the	1.5162
6	8	dark	6.06926
6	9	cell	10.5083
6	10	tried	14.9103
6	11	to	1.64542
6	12	escape	6.59081
6	13	but	10.9792
6	14	failed	12.0872
7	1	The	1.72724
7	2	convict	15.5343
7	3	taken	16.8768
7	4	into	11.6484
7	5	the	2.16194
7	6	dark	8.19473
7	7	cell	11.5399
7	8	tried	16.791
7	9	to	5.91674
7	10	escape	7.98204
7	11	but	7.88081
7	12	failed	10.4247
8	1	The	1.78408
8	2	convict	15.3714
8	3	who	12.4937
8	4	was	3.38922
8	5	taken	6.49404
8	6	into	3.64358
8	7	the	1.74959
8	8	dark	6.63909
8	9	cell	10.7234
8	10	tried	15.4676
8	11	to	1.34359
8	12	escape	6.43121
8	13	but	6.91889
8	14	failed	6.20349
9	1	The	1.76119
9	2	prisoners	14.3313
9	3	hit	8.76154
9	4	for	4.86981
9	5	hours	8.67258
9	6	and	3.00263
9	7	hours	9.02583
9	8	confessed	14.5124
9	9	to	1.07538
9	10	crimes	10.5259
9	11	they	5.57215
9	12	never	9.60478
9	13	committed	7.0904
10	1	The	1.74369
10	2	prisoners	14.2567
10	3	who	4.79257
10	4	were	4.04585
10	5	hit	7.83883
10	6	for	4.92011
10	7	hours	7.8054
10	8	and	2.06786
10	9	hours	10.0894
10	10	confessed	11.2669
10	11	to	0.919111
10	12	crimes	11.4895
10	13	they	4.98367
10	14	never	8.59078
10	15	committed	8.32813
11	1	The	1.78404
11	2	prisoners	14.2944
11	3	beaten	12.5863
11	4	for	5.0252
11	5	hours	8.81566
11	6	and	3.91458
11	7	hours	8.75802
11	8	confessed	14.2431
11	9	to	0.172588
11	10	crimes	10.3588
11	11	they	4.93351
11	12	never	8.93379
11	13	committed	8.56667
12	1	The	1.67804
12	2	prisoners	14.3133
12	3	who	4.3872
12	4	were	4.08048
12	5	beaten	9.0217
12	6	for	4.28018
12	7	hours	7.79544
12	8	and	5.80718
12	9	hours	8.7484
12	10	confessed	11.2635
12	11	to	0.584497
12	12	crimes	11.2027
12	13	they	5.81119
12	14	never	7.85587
12	15	committed	8.41632
13	1	The	1.85851
13	2	business	8.00656
13	3	expanded	8.58102
13	4	into	5.22675
13	5	an	3.88494
13	6	empire	15.2613
13	7	was	14.2068
13	8	sold	4.25712
13	9	for	2.60223
13	10	billions	9.04978
13	11	of	0.0432081
13	12	dollars	2.21497
14	1	The	1.95998
14	2	business	8.31013
14	3	that	4.61607
14	4	was	3.39398
14	5	expanded	8.5722
14	6	into	4.51549
14	7	an	4.51072
14	8	empire	14.3655
14	9	was	2.35028
14	10	sold	4.1321
14	11	for	2.39898
14	12	billions	8.9273
14	13	of	0.0579066
14	14	dollars	2.2529
15	1	The	1.68116
15	2	business	8.06505
15	3	grown	14.2395
15	4	into	4.8626
15	5	an	4.48096
15	6	empire	16.8581
15	7	was	8.6464
15	8	sold	3.56835
15	9	for	2.60513
15	10	billions	8.77029
15	11	of	0.0401577
15	12	dollars	1.85727
16	1	The	1.75107
16	2	business	8.64317
16	3	that	4.58757
16	4	was	3.37645
16	5	grown	7.88558
16	6	into	4.42478
16	7	an	4.61009
16	8	empire	16.2194
16	9	was	2.12523
16	10	sold	4.29431
16	11	for	2.59007
16	12	billions	8.84485
16	13	of	0.365477
16	14	dollars	2.14875
17	1	The	1.73567
17	2	mice	12.8786
17	3	consumed	9.37313
17	4	rapidly	9.18089
17	5	and	4.96132
17	6	entirely	10.5841
17	7	were	5.09824
17	8	carrying	9.89695
17	9	a	2.02409
17	10	rare	7.17954
17	11	bacteria	10.5421
18	1	The	1.73284
18	2	mice	13.1459
18	3	that	5.18368
18	4	were	3.52839
18	5	consumed	8.20429
18	6	rapidly	7.91194
18	7	and	4.99913
18	8	entirely	7.80263
18	9	were	5.99215
18	10	carrying	9.38032
18	11	a	2.03696
18	12	rare	7.17318
18	13	bacteria	10.4438
19	1	The	1.70972
19	2	mice	13.2742
19	3	consumed	10.4081
19	4	rapidly	9.17837
19	5	and	8.20961
19	6	entirely	9.03599
19	7	were	6.754
19	8	carrying	8.85793
19	9	a	2.07073
19	10	rare	7.26829
19	11	bacteria	10.5029
20	1	The	1.74382
20	2	mice	12.9903
20	3	that	5.99465
20	4	were	3.62653
20	5	consumed	8.14564
20	6	rapidly	7.81726
