sentence_id	token_id	token	surprisal
1	1	The	1.71555
1	2	woman	8.36757
1	3	brought	7.98628
1	4	the	1.69672
1	5	sandwich	11.8871
1	6	from	2.58014
1	7	the	1.75256
1	8	kitchen	8.42972
1	9	fell	14.8435
1	10	in	3.19925
1	11	the	2.44571
1	12	dining	15.4197
1	13	room	3.96697
2	1	The	1.71555
2	2	woman	8.36757
2	3	who	11.2483
2	4	was	3.58634
2	5	brought	6.05436
2	6	the	9.45933
2	7	sandwich	14.0408
2	8	from	4.38771
2	9	the	1.50265
2	10	kitchen	8.9193
2	11	fell	16.6911
2	12	in	3.67296
2	13	the	2.57771
2	14	dining	17.2267
2	15	room	4.19074
3	1	The	1.71555
3	2	woman	8.36757
3	3	given	11.4293
3	4	the	1.61421
3	5	sandwich	12.5162
3	6	from	3.27829
3	7	the	2.1927
3	8	kitchen	8.56174
3	9	fell	15.9211
3	10	in	3.50464
3	11	the	2.42608
3	12	dining	15.8533
3	13	room	3.94584
4	1	The	1.71555
4	2	woman	8.36757
4	3	who	11.2483
4	4	was	3.58634
4	5	given	5.35748
4	6	the	1.94927
4	7	sandwich	13.0784
4	8	from	3.98051
4	9	the	1.60462
4	10	kitchen	8.6643
4	11	fell	14.1394
4	12	in	2.74264
4	13	the	2.13267
4	14	dining	15.1545
4	15	room	3.93578
5	1	The	1.71555
5	2	convict	15.4674
5	3	walked	21.3402
5	4	into	6.93392
5	5	the	1.35406
5	6	dark	7.71137
5	7	cell	12.2037
5	8	tried	11.0245
5	9	to	0.490226
5	10	escape	6.76975
5	11	but	12.5241
5	12	failed	11.2933
6	1	The	1.71555
6	2	convict	15.4674
6	3	who	12.1682
6	4	was	3.37661
6	5	walked	12.1056
6	6	into	1.96747
6	7	the	1.57318
6	8	dark	6.23349
6	9	cell	10.6654
6	10	tried	15.4027
6	11	to	0.958538
6	12	escape	6.8787
6	13	but	13.4336
6	14	failed	11.1048
7	1	The	1.71555
7	2	convict	15.4674
7	3	taken	16.8788
7	4	into	8.51914
7	5	the	1.62704
7	6	dark	7.6842
7	7	cell	10.7409
7	8	tried	10.9834
7	9	to	0.488962
7	10	escape	6.826
7	11	but	12.5063
7	12	failed	11.2658
8	1	The	1.71555
8	2	convict	15.4674
8	3	who	12.1682
8	4	was	3.37661
8	5	taken	6.45468
8	6	into	3.81159
8	7	the	1.80013
8	8	dark	6.88188
8	9	cell	10.9114
8	10	tried	14.8042
8	11	to	0.263134
8	12	escape	6.47347
8	13	but	13.6096
8	14	failed	11.0434
9	1	The	1.71555
9	2	prisoners	14.3349
9	3	hit	8.50352
9	4	for	12.3685
9	5	hours	12.2084
9	6	and	12.0931
9	7	hours	9.25132
9	8	confessed	14.0301
9	9	to	0.22956
9	10	crimes	10.7601
