sentence_id	token_id	token	surprisal
1	1	The	2.65251
1	2	woman	12.0906
1	3	brought	11.2075
1	4	the	2.86829
1	5	sandwich	17.1127
1	6	from	4.44561
1	7	the	2.69629
1	8	kitchen	12.2321
1	9	fell	21.1969
1	10	in	4.12771
1	11	the	3.77567
1	12	dining	23.6283
1	13	room	6.04475
2	1	The	2.65251
2	2	woman	12.0906
2	3	who	18.5106
2	4	was	5.25469
2	5	brought	9.02193
2	6	the	6.24815
2	7	sandwich	17.8863
2	8	from	5.70248
2	9	the	2.60803
2	10	kitchen	12.6125
2	11	fell	20.6425
2	12	in	3.87331
2	13	the	3.34141
2	14	dining	22.5897
2	15	room	5.77835
3	1	The	2.65251
3	2	woman	12.0906
3	3	given	15.8133
3	4	the	2.368
3	5	sandwich	18.2042
3	6	from	5.19342
3	7	the	3.432
3	8	kitchen	11.9175
3	9	fell	22.4493
3	10	in	4.41161
3	11	the	3.57144
3	12	dining	23.1876
3	13	room	5.92147
4	1	The	2.65251
4	2	woman	12.0906
4	3	who	18.5106
4	4	was	5.25469
4	5	given	7.82145
4	6	the	3.10416
4	7	sandwich	19.2668
4	8	from	5.07959
4	9	the	3.39129
4	10	kitchen	12.4957
4	11	fell	21.2941
4	12	in	4.14956
4	13	the	3.6234
4	14	dining	23.0598
4	15	room	6.02946
5	1	The	2.65251
5	2	convict	22.28
5	3	walked	23.6122
5	4	into	2.63148
5	5	the	2.73597
5	6	dark	7.74053
5	7	cell	16.3527
5	8	tried	24.8994
5	9	to	6.83639
5	10	escape	16.4211
5	11	but	12.7485
5	12	failed	14.1412
6	1	The	2.65251
6	2	convict	22.28
6	3	who	17.5451
6	4	was	4.56303
6	5	walked	17.6242
6	6	into	2.99225
6	7	the	2.52049
6	8	dark	8.61864
6	9	cell	15.2714
6	10	tried	24.5565
6	11	to	2.91521
6	12	escape	10.1705
6	13	but	16.4404
6	14	failed	15.0165
7	1	The	2.65251
7	2	convict	22.28
7	3	taken	23.8837
7	4	into	10.4815
7	5	the	2.74584
7	6	dark	8.64045
7	7	cell	15.6911
7	8	tried	24.8738
7	9	to	7.38431
7	10	escape	16.9861
7	11	but	12.2252
7	12	failed	13.8151
8	1	The	2.65251
8	2	convict	22.28
8	3	who	17.5451
8	4	was	4.56303
8	5	taken	9.60334
8	6	into	5.46086
8	7	the	2.88116
8	8	dark	9.33025
8	9	cell	15.3795
8	10	tried	24.4118
8	11	to	2.49744
8	12	escape	9.98189
8	13	but	16.6349
8	14	failed	15.2042
9	1	The	2.65251
9	2	prisoners	20.6796
9	3	hit	12.0641
9	4	for	8.0337
9	5	hours	12.593
9	6	and	5.4607
9	7	hours	11.748
9	8	confessed	21.2525
9	9	to	0.353775
9	10	crimes	15.3215
9	11	they	21.2922
9	12	never	15.7021
9	13	committed	11.6667
10	1	The	2.65251
10	2	prisoners	20.6796
10	3	who	19.4075
10	4	were	9.90545
10	5	hit	10.8769
10	6	for	7.16717
10	7	hours	11.5694
10	8	and	5.58124
10	9	hours	11.4443
10	10	confessed	20.694
10	11	to	0.31138
10	12	crimes	15.1953
10	13	they	21.3893
10	14	never	15.9916
