sentence_id	token_id	token	surprisal
1	1	The	2.14342
1	2	woman	8.59981
1	3	brought	7.10683
1	4	the	2.38804
1	5	sandwich	10.1184
1	6	from	5.0245
1	7	the	1.06474
1	8	kitchen	5.32791
1	9	fell	15.6433
1	10	in	2.98987
1	11	the	1.3375
1	12	dining	7.61843
1	13	room	0.835009
2	1	The	2.14342
2	2	woman	8.59981
2	3	who	13.3796
2	4	was	7.09349
2	5	brought	5.97797
2	6	the	2.1797
2	7	sandwich	10.1938
2	8	from	2.91587
2	9	the	1.18521
2	10	kitchen	5.27802
2	11	fell	15.1185
2	12	in	3.09656
2	13	the	1.44992
2	14	dining	7.59826
2	15	room	0.65859
3	1	The	2.14342
3	2	woman	8.59981
3	3	given	11.419
3	4	the	2.70074
3	5	sandwich	10.7693
3	6	from	5.31737
3	7	the	1.102
3	8	kitchen	5.57109
3	9	fell	19.6513
3	10	in	6.70666
3	11	the	2.31483
3	12	dining	8.98046
3	13	room	0.981853
4	1	The	2.14342
4	2	woman	8.59981
4	3	who	13.3796
4	4	was	7.09349
4	5	given	5.11508
4	6	the	1.72763
4	7	sandwich	10.4964
4	8	from	4.06361
4	9	the	1.21335
4	10	kitchen	6.09995
4	11	fell	18.3279
4	12	in	1.73761
4	13	the	1.76409
4	14	dining	7.88815
4	15	room	0.70938
5	1	The	2.14342
5	2	convict	13.107
5	3	walked	8.39103
5	4	into	9.43162
5	5	the	2.04963
5	6	dark	7.41554
5	7	cell	9.14752
5	8	tried	18.7588
5	9	to	6.62159
5	10	escape	10.7193
5	11	but	9.96814
5	12	failed	11.2044
6	1	The	2.14342
6	2	convict	13.107
6	3	who	13.554
6	4	was	6.83748
6	5	walked	10.3896
6	6	into	2.14741
6	7	the	1.04593
6	8	dark	5.98939
6	9	cell	20.4306
6	10	tried	15.0494
6	11	to	7.02513
6	12	escape	9.96616
6	13	but	11.9216
6	14	failed	10.7474
7	1	The	2.14342
7	2	convict	13.107
7	3	taken	10.9575
7	4	into	11.6665
7	5	the	2.74422
7	6	dark	8.85897
7	7	cell	9.29144
7	8	tried	19.5112
7	9	to	8.8383
7	10	escape	10.3389
7	11	but	13.9529
7	12	failed	6.78617
8	1	The	2.14342
8	2	convict	13.107
8	3	who	13.554
8	4	was	6.83748
8	5	taken	5.62825
8	6	into	2.59226
8	7	the	1.29519
8	8	dark	7.04895
8	9	cell	20.5238
8	10	tried	14.6493
8	11	to	7.10316
8	12	escape	9.14132
8	13	but	9.81369
8	14	failed	11.9046
9	1	The	2.14342
9	2	prisoners	11.8331
9	3	hit	7.38714
9	4	for	10.4208
9	5	hours	14.8013
9	6	and	8.81658
9	7	hours	9.56721
9	8	confessed	11.1852
9	9	to	0.0567541
9	10	crimes	6.86151
9	11	they	14.5669
9	12	never	12.2168
9	13	committed	7.85242
10	1	The	2.14342
10	2	prisoners	11.8331
10	3	who	14.6551
10	4	were	7.0684
