sentence_id	token_id	token	surprisal
1	1	The	1.2818
1	2	woman	8.33214
1	3	brought	7.36748
1	4	the	1.41876
1	5	sandwich	11.8871
1	6	from	8.31692
1	7	the	4.23605
1	8	kitchen	10.8411
1	9	fell	22.4128
1	10	in	8.95318
1	11	the	5.77475
1	12	dining	14.3725
1	13	room	11.1402
2	1	The	1.2818
2	2	woman	8.33214
2	3	who	15.5298
2	4	was	16.0817
2	5	brought	14.3488
2	6	the	14.7645
2	7	sandwich	13.5784
2	8	from	14.612
2	9	the	1.38779
2	10	kitchen	8.77022
2	11	fell	23.0859
2	12	in	0.621911
2	13	the	1.80434
2	14	dining	15.3678
2	15	room	18.7877
3	1	The	1.2818
3	2	woman	8.33214
3	3	given	10.8225
3	4	the	1.54316
3	5	sandwich	12.5162
3	6	from	9.14961
3	7	the	3.98128
3	8	kitchen	10.3487
3	9	fell	22.57
3	10	in	9.08329
3	11	the	5.62259
3	12	dining	14.3179
3	13	room	11.133
4	1	The	1.2818
4	2	woman	8.33214
4	3	who	15.5298
4	4	was	16.0817
4	5	given	8.03006
4	6	the	1.5221
4	7	sandwich	11.6761
4	8	from	5.22797
4	9	the	1.34357
4	10	kitchen	8.5386
4	11	fell	19.1173
4	12	in	11.191
4	13	the	20.9812
4	14	dining	11.965
4	15	room	10.7125
5	1	The	1.2818
5	2	convict	15.5625
5	3	walked	21.9975
5	4	into	15.6489
5	5	the	10.8986
5	6	dark	9.20935
5	7	cell	22.6234
5	8	tried	14.7486
5	9	to	7.66353
5	10	escape	9.42639
5	11	but	12.5221
5	12	failed	10.9159
6	1	The	1.2818
6	2	convict	15.5625
6	3	who	11.8549
6	4	was	2.95805
6	5	walked	15.4784
6	6	into	18.4264
6	7	the	8.89868
6	8	dark	9.30959
6	9	cell	16.5708
6	10	tried	14.4678
6	11	to	6.64465
6	12	escape	14.0624
6	13	but	8.27419
6	14	failed	10.6138
7	1	The	1.2818
7	2	convict	15.5625
7	3	taken	16.9757
7	4	into	16.6214
7	5	the	10.1446
7	6	dark	9.52322
7	7	cell	23.183
7	8	tried	15.3761
7	9	to	7.93315
7	10	escape	9.46911
7	11	but	12.4271
7	12	failed	10.9047
8	1	The	1.2818
8	2	convict	15.5625
8	3	who	11.8549
8	4	was	2.95805
8	5	taken	15.0105
8	6	into	15.5831
8	7	the	1.75312
8	8	dark	9.12194
8	9	cell	22.3876
8	10	tried	12.7916
8	11	to	12.8553
8	12	escape	14.982
8	13	but	8.21244
8	14	failed	9.53646
9	1	The	1.2818
9	2	prisoners	14.3543
9	3	hit	7.88454
9	4	for	11.5283
9	5	hours	15.5015
9	6	and	12.2909
9	7	hours	7.13915
9	8	confessed	21.4749
9	9	to	0.0185051
9	10	crimes	10.5146
9	11	they	14.6323
9	12	never	16.3446
9	13	committed	14.1599
10	1	The	1.2818
10	2	prisoners	14.3543
10	3	who	15.4374
10	4	were	16.9023
10	5	hit	15.2996
10	6	for	14.3218
10	7	hours	14.5121
10	8	and	11.6276
10	9	hours	13.9631
10	10	confessed	13.3204
10	11	to	15.2865
10	12	crimes	14.6664
10	13	they	12.525
10	14	never	20.1702
10	15	committed	15.1972
11	1	The	1.2818
11	2	prisoners	14.3543
11	3	beaten	11.9322
11	4	for	10.3254
11	5	hours	14.8371
11	6	and	12.9599
11	7	hours	6.9828
11	8	confessed	21.2356
11	9	to	0.01511
11	10	crimes	10.3066
11	11	they	14.0613
11	12	never	16.5409
11	13	committed	14.1572
12	1	The	1.2818
12	2	prisoners	14.3543
12	3	who	15.4374
12	4	were	16.9023
12	5	beaten	15.1122
12	6	for	11.2089
12	7	hours	14.7906
12	8	and	12.0029
12	9	hours	13.0523
12	10	confessed	14.4483
12	11	to	21.459
12	12	crimes	14.2756
12	13	they	11.5001
12	14	never	19.4982
12	15	committed	8.41586
13	1	The	1.2818
13	2	business	7.93907
13	3	expanded	16.0547
13	4	into	17.4271
13	5	an	14.6453
13	6	empire	13.5147
13	7	was	15.0484
13	8	sold	18.1392
13	9	for	2.43718
13	10	billions	12.3196
13	11	of	29.6531
13	12	dollars	9.44992
14	1	The	1.2818
14	2	business	7.93907
14	3	that	18.7255
14	4	was	2.29338
14	5	expanded	15.1979
14	6	into	22.5308
14	7	an	13.8323
14	8	empire	11.1008
14	9	was	11.7306
14	10	sold	2.75788
14	11	for	2.3757
14	12	billions	13.3421
14	13	of	9.27052
14	14	dollars	17.8184
15	1	The	1.2818
15	2	business	7.93907
15	3	grown	21.9331
15	4	into	23.6158
15	5	an	14.5241
15	6	empire	19.6121
15	7	was	12.2548
15	8	sold	20.3349
15	9	for	14.7849
15	10	billions	16.1291
15	11	of	10.3222
15	12	dollars	28.6146
16	1	The	1.2818
16	2	business	7.93907
16	3	that	18.7255
16	4	was	2.29338
16	5	grown	13.9825
16	6	into	10.2117
16	7	an	3.6115
16	8	empire	18.2068
16	9	was	16.3201
16	10	sold	3.81391
16	11	for	14.7125
16	12	billions	15.3695
16	13	of	6.39946
16	14	dollars	1.93488
17	1	The	1.2818
17	2	mice	13.6981
17	3	consumed	11.7253
17	4	rapidly	13.9049
17	5	and	13.6496
17	6	entirely	14.3171
17	7	were	13.4137
17	8	carrying	12.8177
17	9	a	1.67676
17	10	rare	7.41219
17	11	bacteria	10.4773
18	1	The	1.2818
18	2	mice	13.6981
18	3	that	13.4521
18	4	were	6.0793
18	5	consumed	17.2384
18	6	rapidly	13.8786
18	7	and	13.8232
18	8	entirely	12.9195
18	9	were	12.5689
18	10	carrying	11.1926
18	11	a	23.1164
18	12	rare	11.7189
18	13	bacteria	15.2752
19	1	The	1.2818
19	2	mice	13.6981
19	3	consumed	11.7253
19	4	rapidly	13.9049
19	5	and	13.6496
19	6	entirely	14.3171
19	7	were	13.4137
19	8	carrying	12.8177
19	9	a	1.67676
19	10	rare	7.41219
19	11	bacteria	10.4773
20	1	The	1.2818
20	2	mice	13.6981
20	3	that	13.4521
20	4	were	6.0793
20	5	consumed	17.2384
20	6	rapidly	13.8786
20	7	and	13.8232
20	8	entirely	12.9195
20	9	were	12.5689
20	10	carrying	11.1926
20	11	a	23.1164
20	12	rare	11.7189
20	13	bacteria	15.2752
21	1	The	1.2818
21	2	lawyer	10.3031
21	3	pledged	7.44792
21	4	to	11.7948
21	5	keep	16.9474
21	6	silent	12.6782
21	7	was	18.3853
21	8	discovered	16.2654
21	9	to	14.5481
21	10	have	17.299
21	11	broken	11.6353
21	12	his	5.36472
21	13	promise	8.56793
22	1	The	1.2818
22	2	lawyer	10.3031
22	3	that	14.4148
22	4	was	14.1634
22	5	pledged	18.6424
22	6	to	12.135
22	7	keep	12.132
22	8	silent	19.0545
22	9	was	11.3608
22	10	discovered	19.5838
22	11	to	9.6033
22	12	have	3.45503
22	13	broken	7.68133
22	14	his	5.58892
22	15	promise	8.42197
23	1	The	1.2818
23	2	lawyer	10.3031
23	3	committed	11.4511
23	4	to	12.508
23	5	keep	17.0266
23	6	silent	12.6779
23	7	was	18.3292
23	8	discovered	16.3196
23	9	to	14.8042
23	10	have	17.1471
23	11	broken	11.5606
23	12	his	4.41252
23	13	promise	8.45886
24	1	The	1.2818
24	2	lawyer	10.3031
24	3	who	16.6351
24	4	was	17.0605
24	5	committed	14.0374
24	6	to	0.0522061
24	7	keep	14.0664
24	8	silent	20.2299
24	9	was	16.0235
24	10	discovered	11.2011
24	11	to	8.84427
24	12	have	9.30774
24	13	broken	14.8486
24	14	his	13.9409
24	15	promise	15.1609
25	1	The	1.2818
25	2	child	11.4101
25	3	kicked	9.73441
25	4	in	2.44767
25	5	the	1.69775
25	6	chaos	9.02447
25	7	found	20.8272
25	8	her	6.31506
25	9	way	7.14593
25	10	back	8.85898
25	11	home	6.85499
26	1	The	1.2818
26	2	child	11.4101
26	3	who	16.1391
26	4	was	15.7395
26	5	kicked	15.0858
26	6	in	2.39888
26	7	the	1.67014
26	8	chaos	11.7294
26	9	found	22.9804
26	10	her	6.18384
26	11	way	12.057
26	12	back	11.6891
26	13	home	10.8948
27	1	The	1.2818
27	2	child	11.4101
27	3	forgotten	11.4649
27	4	in	1.06911
27	5	the	12.2195
27	6	chaos	9.3676
27	7	found	17.9295
27	8	her	18.2222
27	9	way	9.33777
27	10	back	8.28129
27	11	home	15.1002
28	1	The	1.2818
28	2	child	11.4101
28	3	who	16.1391
28	4	was	15.7395
28	5	forgotten	14.6166
28	6	in	2.5735
28	7	the	1.91351
28	8	chaos	10.475
28	9	found	22.0251
28	10	her	5.74448
28	11	way	7.90885
28	12	back	20.9837
28	13	home	11.3254
29	1	The	1.2818
29	2	horses	13.2694
29	3	UNK-LC-ed	6.02594
29	4	past	10.2524
29	5	the	10.2835
29	6	barn	12.8104
29	7	fell	16.9482
