sentence_id	token_id	token	surprisal
1	1	The	2.75662
1	2	company	4.07296
1	3	supplies	12.1011
1	4	were	14.8015
1	5	all	10.3877
1	6	gone	13.1407
2	1	The	2.75662
2	2	company	4.07296
2	3	's	3.12874
2	4	supplies	17.4309
2	5	were	5.34941
2	6	all	10.5234
2	7	gone	12.1155
3	1	The	2.75662
3	2	company	4.07296
3	3	supplies	12.1011
3	4	the	3.63619
3	5	services	9.54748
3	6	we	12.4418
3	7	need	4.4245
4	1	The	2.75662
4	2	company	4.07296
4	3	supplied	16.1037
4	4	the	2.68481
4	5	services	9.46187
4	6	we	15.277
4	7	need	6.35098
5	1	No	9.68408
5	2	author	17.2958
5	3	that	10.3826
5	4	the	2.39495
5	5	senators	12.829
5	6	liked	12.0435
5	7	has	16.6711
5	8	ever	9.99042
5	9	been	2.3886
5	10	popular	10.5101
6	1	No	9.68408
6	2	author	17.2958
6	3	that	10.3826
6	4	no	9.51499
6	5	senators	14.8676
6	6	liked	12.4672
6	7	has	16.7197
6	8	ever	9.53961
6	9	been	2.11222
6	10	popular	10.9247
7	1	The	2.75662
7	2	author	11.1556
7	3	that	12.7671
7	4	the	2.77759
7	5	senators	13.0552
7	6	liked	12.1767
7	7	has	16.8376
7	8	ever	10.8109
7	9	been	2.63092
7	10	popular	10.1874
8	1	The	2.75662
8	2	author	11.1556
8	3	that	12.7671
8	4	no	9.32765
8	5	senators	14.709
8	6	liked	12.4115
8	7	has	16.8755
8	8	ever	10.1135
8	9	been	2.52625
8	10	popular	10.7055
9	1	No	9.68408
9	2	pilot	13.3669
9	3	that	13.0117
9	4	the	2.89833
9	5	consultants	13.5965
9	6	met	10.4459
9	7	has	16.6103
9	8	ever	8.68481
9	9	been	1.96787
9	10	famous	14.9522
10	1	No	9.68408
10	2	pilot	13.3669
10	3	that	13.0117
10	4	no	10.3607
10	5	consultants	16.0302
10	6	met	10.9202
10	7	has	16.1361
10	8	ever	7.84318
10	9	been	1.90087
10	10	famous	15.1046
11	1	The	2.75662
11	2	pilot	11.3438
11	3	that	13.4473
11	4	the	3.56234
11	5	consultants	14.2216
11	6	met	9.78477
11	7	has	17.2914
11	8	ever	11.9067
11	9	been	2.54297
11	10	famous	14.5698
12	1	The	2.75662
12	2	pilot	11.3438
12	3	that	13.4473
12	4	no	10.6293
12	5	consultants	16.1466
12	6	met	10.2598
12	7	has	16.8094
12	8	ever	9.99582
12	9	been	2.0145
12	10	famous	14.6494
13	1	No	9.68408
13	2	doctor	13.2014
13	3	that	12.5285
13	4	the	2.88921
13	5	guards	13.3776
13	6	hated	14.1022
13	7	has	15.3752
13	8	ever	15.3842
13	9	had	10.6676
13	10	children	8.58997
14	1	No	9.68408
14	2	doctor	13.2014
14	3	that	12.5285
14	4	no	9.67741
14	5	guards	15.2056
14	6	hated	14.2103
14	7	has	15.5007
14	8	ever	14.913
14	9	had	8.89393
14	10	children	8.54097
15	1	The	2.75662
15	2	doctor	13.0897
15	3	that	14.0709
15	4	the	3.25333
15	5	guards	13.3542
15	6	hated	14.5574
15	7	has	15.3771
15	8	ever	10.1361
15	9	had	5.68342
15	10	children	8.10332
16	1	The	2.75662
16	2	doctor	13.0897
16	3	that	14.0709
16	4	no	9.27294
16	5	guards	14.8995
16	6	hated	14.8715
16	7	has	13.5469
16	8	ever	7.09217
16	9	had	5.29627
16	10	children	7.9642
17	1	No	9.68408
17	2	farmer	13.6107
17	3	that	11.4932
17	4	the	3.24437
17	5	clerks	16.0521
17	6	discussed	12.4449
17	7	has	16.3871
17	8	ever	10.8129
17	9	been	1.98919
17	10	appreciated	13.1708
18	1	No	9.68408
18	2	farmer	13.6107
18	3	that	11.4932
18	4	no	10.6707
18	5	clerks	17.5016
18	6	discussed	12.8679
18	7	has	16.4357
18	8	ever	10.0643
18	9	been	1.66261
18	10	appreciated	12.8447
19	1	The	2.75662
19	2	farmer	15.4901
19	3	that	12.1888
19	4	the	2.33279
19	5	clerks	16.1477
19	6	discussed	12.0472
19	7	has	16.546
19	8	ever	11.5285
19	9	been	2.34407
19	10	appreciated	13.8027
20	1	The	2.75662
20	2	farmer	15.4901
20	3	that	12.1888
20	4	no	8.68912
20	5	clerks	17.2837
20	6	discussed	12.483
20	7	has	16.8308
20	8	ever	10.6108
20	9	been	2.1343
20	10	appreciated	13.2982
21	1	No	9.68408
21	2	manager	13.7956
21	3	that	12.3411
21	4	the	2.35074
21	5	architects	16.1824
21	6	loved	14.4953
21	7	has	15.2376
21	8	ever	10.7313
21	9	been	2.30297
21	10	ignored	9.29278
22	1	No	9.68408
22	2	manager	13.7956
22	3	that	12.3411
22	4	no	10.5786
22	5	architects	17.4399
22	6	loved	14.7229
22	7	has	15.1566
22	8	ever	9.79248
22	9	been	2.19948
22	10	ignored	9.42093
23	1	The	2.75662
