sentence_id	token_id	token	surprisal
1	1	The	1.8899
1	2	company	2.8941
1	3	supplies	8.21174
1	4	were	12.9638
1	5	all	5.70369
1	6	gone	12.7016
2	1	The	1.93773
2	2	company	2.89473
2	3	's	1.96662
2	4	supplies	11.6354
2	5	were	3.15009
2	6	all	7.17007
2	7	gone	8.33113
3	1	The	1.77613
3	2	company	2.83729
3	3	supplies	8.54892
3	4	the	2.49983
3	5	services	6.65961
3	6	we	8.47957
3	7	need	3.09005
4	1	The	1.85279
4	2	company	2.78972
4	3	supplied	11.2551
4	4	the	1.76583
4	5	services	6.55322
4	6	we	17.7032
4	7	need	10.1922
5	1	No	6.78203
5	2	author	11.8141
5	3	that	10.3172
5	4	the	2.66346
5	5	senators	9.11991
5	6	liked	8.23793
5	7	has	12.2999
5	8	ever	7.98445
5	9	been	1.99765
5	10	popular	6.72632
6	1	No	6.94423
6	2	author	12.0177
6	3	that	8.15089
6	4	no	9.02884
6	5	senators	13.4683
6	6	liked	7.97066
6	7	has	10.8781
6	8	ever	6.5168
6	9	been	2.11442
6	10	popular	7.39742
7	1	The	1.91246
7	2	author	7.72293
7	3	that	10.2318
7	4	the	3.26579
7	5	senators	9.2154
7	6	liked	8.53013
7	7	has	12.4202
7	8	ever	10.209
7	9	been	9.91513
7	10	popular	7.79166
8	1	The	1.90138
8	2	author	7.89902
8	3	that	10.6277
8	4	no	5.82116
8	5	senators	11.0795
8	6	liked	8.15389
8	7	has	12.4786
8	8	ever	7.29409
8	9	been	2.26745
8	10	popular	7.19766
9	1	No	6.89225
9	2	pilot	9.11109
9	3	that	8.9262
9	4	the	9.18621
9	5	consultants	11.7519
9	6	met	7.40706
9	7	has	13.5278
9	8	ever	6.16594
9	9	been	2.00176
9	10	famous	10.7241
10	1	No	6.87395
10	2	pilot	9.25854
10	3	that	9.06058
10	4	no	8.7946
10	5	consultants	11.5381
10	6	met	7.19452
10	7	has	3.48215
10	8	ever	5.40698
10	9	been	1.82746
10	10	famous	9.46157
11	1	The	1.97429
11	2	pilot	7.84378
11	3	that	8.78527
11	4	the	4.34791
11	5	consultants	9.60675
11	6	met	8.61446
11	7	has	4.75882
11	8	ever	7.92799
11	9	been	1.93405
11	10	famous	9.15428
12	1	The	1.97146
12	2	pilot	7.95948
12	3	that	9.33167
12	4	no	7.09675
12	5	consultants	11.6588
12	6	met	7.60927
12	7	has	12.6028
12	8	ever	6.45648
12	9	been	2.23909
12	10	famous	9.87641
13	1	No	7.00095
13	2	doctor	9.23898
13	3	that	8.96259
13	4	the	3.38554
13	5	guards	9.15368
13	6	hated	9.11787
13	7	has	7.64797
13	8	ever	5.51932
13	9	had	4.69714
13	10	children	6.12191
14	1	No	6.48458
14	2	doctor	9.59833
14	3	that	8.76786
14	4	no	9.13726
14	5	guards	11.9359
14	6	hated	9.2801
14	7	has	6.30959
14	8	ever	5.06098
14	9	had	4.4073
14	10	children	6.3486
15	1	The	1.84483
15	2	doctor	8.99907
15	3	that	9.63702
15	4	the	6.313
15	5	guards	9.15931
15	6	hated	8.63289
15	7	has	11.0897
15	8	ever	6.77154
15	9	had	3.6847
15	10	children	6.00116
16	1	The	1.84008
16	2	doctor	9.05431
16	3	that	9.71594
16	4	no	7.61113
16	5	guards	10.9242
16	6	hated	9.73907
16	7	has	10.6302
16	8	ever	6.45518
16	9	had	4.28854
16	10	children	6.08501
17	1	No	6.57537
17	2	farmer	9.17825
17	3	that	8.34568
17	4	the	4.35677
17	5	clerks	10.861
17	6	discussed	8.54314
