sentence_id	token_id	token	surprisal
1	1	The	1.79466
1	2	company	2.69391
1	3	supplies	8.22329
1	4	were	12.893
1	5	all	6.31218
1	6	gone	14.4518
2	1	The	1.68661
2	2	company	2.94879
2	3	's	2.07794
2	4	supplies	12.5376
2	5	were	3.05642
2	6	all	7.27801
2	7	gone	8.02387
3	1	The	1.763
3	2	company	2.65682
3	3	supplies	8.17793
3	4	the	2.49526
3	5	services	6.5615
3	6	we	8.5153
3	7	need	3.10086
4	1	The	1.79139
4	2	company	2.89053
4	3	supplied	11.3581
4	4	the	1.88134
4	5	services	6.52974
4	6	we	9.87372
4	7	need	4.3763
5	1	No	6.90549
5	2	author	11.9529
5	3	that	11.4917
5	4	the	2.63178
5	5	senators	8.82915
5	6	liked	8.36393
5	7	has	15.2575
5	8	ever	5.33581
5	9	been	2.0868
5	10	popular	6.62068
6	1	No	6.66282
6	2	author	12.0625
6	3	that	10.5035
6	4	no	7.39433
6	5	senators	10.3621
6	6	liked	8.5242
6	7	has	5.77497
6	8	ever	6.03297
6	9	been	1.08529
6	10	popular	7.31497
7	1	The	1.67683
7	2	author	7.6035
7	3	that	12.7463
7	4	the	2.32427
7	5	senators	9.14029
7	6	liked	8.29682
7	7	has	14.5979
7	8	ever	9.44217
7	9	been	11.1421
7	10	popular	7.59126
8	1	The	2.24535
8	2	author	7.74236
8	3	that	12.2185
8	4	no	4.44759
8	5	senators	12.8908
8	6	liked	8.30567
8	7	has	14.7818
8	8	ever	5.75471
8	9	been	2.33292
8	10	popular	8.06603
9	1	No	6.78836
9	2	pilot	9.04285
9	3	that	11.4984
9	4	the	3.8662
9	5	consultants	8.64907
9	6	met	6.86019
9	7	has	3.69689
9	8	ever	11.2441
9	9	been	8.01284
9	10	famous	10.3175
10	1	No	6.39364
10	2	pilot	9.48584
10	3	that	7.20386
10	4	no	12.3572
10	5	consultants	12.6207
10	6	met	7.25736
10	7	has	12.1265
10	8	ever	5.45068
10	9	been	1.86454
10	10	famous	10.7525
11	1	The	1.97187
11	2	pilot	7.90516
11	3	that	9.88554
11	4	the	4.41157
11	5	consultants	9.42721
11	6	met	7.01273
11	7	has	14.5498
11	8	ever	8.15068
11	9	been	8.21567
11	10	famous	12.1933
12	1	The	1.98979
12	2	pilot	7.86347
12	3	that	13.3341
12	4	no	7.17181
12	5	consultants	11.2388
12	6	met	7.7197
12	7	has	13.4001
12	8	ever	8.88668
12	9	been	3.73308
12	10	famous	13.6911
13	1	No	6.45519
13	2	doctor	9.28285
13	3	that	6.70719
13	4	the	9.58082
13	5	guards	11.9174
13	6	hated	10.5074
13	7	has	5.92295
13	8	ever	11.402
13	9	had	5.26121
13	10	children	6.5579
14	1	No	7.29871
14	2	doctor	9.29905
14	3	that	9.21252
14	4	no	12.3434
14	5	guards	11.2749
14	6	hated	10.8743
14	7	has	3.75412
14	8	ever	8.08896
14	9	had	5.14951
14	10	children	6.01105
15	1	The	1.77405
15	2	doctor	9.06268
15	3	that	9.37142
15	4	the	12.6764
15	5	guards	10.8713
15	6	hated	10.7743
15	7	has	10.3125
15	8	ever	9.09273
15	9	had	6.52405
15	10	children	6.51009
16	1	The	2.11646
16	2	doctor	8.99954
16	3	that	12.9587
16	4	no	6.22053
16	5	guards	11.213
16	6	hated	9.44472
16	7	has	14.0176
16	8	ever	10.7628
16	9	had	9.88338
16	10	children	5.97115
17	1	No	6.81493
17	2	farmer	9.19611
17	3	that	8.96425
17	4	the	4.69364
17	5	clerks	10.7182
17	6	discussed	8.73702
17	7	has	5.37588
17	8	ever	6.07518
17	9	been	1.01788
17	10	appreciated	9.22077
18	1	No	6.49806
18	2	farmer	9.71021
18	3	that	6.74489
18	4	no	7.75406
18	5	clerks	15.6538
18	6	discussed	11.4066
18	7	has	11.3181
18	8	ever	9.66675
18	9	been	4.26593
18	10	appreciated	9.25988
19	1	The	1.97281
19	2	farmer	10.7338
19	3	that	11.8867
19	4	the	3.47459
19	5	clerks	10.8045
19	6	discussed	8.6822
19	7	has	14.7378
19	8	ever	9.18704
19	9	been	9.86354
19	10	appreciated	10.6049
20	1	The	1.91479
20	2	farmer	10.7529
20	3	that	12.1711
20	4	no	6.24595
20	5	clerks	12.6495
20	6	discussed	9.17161
20	7	has	14.9466
20	8	ever	10.4523
20	9	been	4.75095
20	10	appreciated	9.29106
21	1	No	6.88355
21	2	manager	9.30913
21	3	that	10.1188
21	4	the	3.46699
21	5	architects	10.5217
21	6	loved	9.91791
21	7	has	3.59733
21	8	ever	5.78953
21	9	been	1.81469
21	10	ignored	7.76657
22	1	No	6.82201
22	2	manager	9.37419
22	3	that	10.4819
22	4	no	7.12534
22	5	architects	12.7761
22	6	loved	10.504
22	7	has	10.3502
22	8	ever	9.81268
22	9	been	4.35036
22	10	ignored	7.60573
23	1	The	1.72743
23	2	manager	8.16881
23	3	that	11.8149
23	4	the	2.27894
23	5	architects	11.0852
23	6	loved	9.44668
23	7	has	14.4167
23	8	ever	7.99755
23	9	been	9.40514
23	10	ignored	9.98435
24	1	The	1.8005
24	2	manager	8.30767
24	3	that	12.1598
24	4	no	6.03952
24	5	architects	12.8461
