sentence_id	token_id	token	surprisal
1	1	The	1.38264
1	2	woman	8.39037
1	3	brought	7.5498
1	4	the	1.42143
1	5	sandwich	11.8907
1	6	from	3.38004
1	7	the	1.84358
1	8	kitchen	8.66598
1	9	fell	18.5817
1	10	in	4.15696
1	11	the	2.7754
1	12	dining	14.5768
1	13	room	14.4317
2	1	The	1.38264
2	2	woman	8.39037
2	3	who	15.7121
2	4	was	15.9129
2	5	brought	13.5201
2	6	the	6.97366
2	7	sandwich	10.3213
2	8	from	14.2148
2	9	the	1.96252
2	10	kitchen	8.84484
2	11	fell	17.3556
2	12	in	3.79687
2	13	the	2.64534
2	14	dining	16.8856
2	15	room	4.1269
3	1	The	1.38264
3	2	woman	8.39037
3	3	given	11.0048
3	4	the	1.5006
3	5	sandwich	12.3949
3	6	from	3.19825
3	7	the	2.53223
3	8	kitchen	8.55761
3	9	fell	15.909
3	10	in	4.10795
3	11	the	2.57404
3	12	dining	14.5004
3	13	room	15.3425
4	1	The	1.38264
4	2	woman	8.39037
4	3	who	15.7121
4	4	was	15.9129
4	5	given	8.61274
4	6	the	1.56726
4	7	sandwich	12.5038
4	8	from	6.32334
4	9	the	1.35589
4	10	kitchen	8.36916
4	11	fell	22.7306
4	12	in	9.40043
4	13	the	4.9424
4	14	dining	15.3223
4	15	room	4.90012
5	1	The	1.38264
5	2	convict	15.4123
5	3	walked	21.5897
5	4	into	6.16085
5	5	the	1.34046
5	6	dark	7.7809
5	7	cell	10.7442
5	8	tried	10.8418
5	9	to	0.182559
5	10	escape	6.83636
5	11	but	13.3614
5	12	failed	11.0852
6	1	The	1.38264
6	2	convict	15.4123
6	3	who	12.0124
6	4	was	2.95805
6	5	walked	11.8567
6	6	into	2.98729
6	7	the	1.83922
6	8	dark	7.35864
6	9	cell	10.9582
6	10	tried	17.3
6	11	to	10.1383
6	12	escape	17.2164
6	13	but	12.6381
6	14	failed	10.0432
7	1	The	1.38264
7	2	convict	15.4123
7	3	taken	16.9221
7	4	into	12.0892
7	5	the	2.68559
7	6	dark	8.49654
7	7	cell	10.9531
7	8	tried	23.9058
7	9	to	10.203
7	10	escape	12.7345
7	11	but	13.3239
7	12	failed	10.3821
8	1	The	1.38264
8	2	convict	15.4123
8	3	who	12.0124
8	4	was	2.95805
8	5	taken	6.57795
8	6	into	3.88879
8	7	the	2.05175
8	8	dark	7.05905
8	9	cell	11.2223
8	10	tried	20.8368
8	11	to	6.51072
8	12	escape	14.934
8	13	but	9.43442
8	14	failed	7.71701
9	1	The	1.38264
9	2	prisoners	14.3231
9	3	hit	8.29
9	4	for	10.9849
9	5	hours	10.9533
9	6	and	3.6478
9	7	hours	9.72543
9	8	confessed	18.4741
9	9	to	0.0530253
9	10	crimes	10.7017
9	11	they	16.1204
9	12	never	14.0931
9	13	committed	9.89622
10	1	The	1.38264
10	2	prisoners	14.3231
10	3	who	15.3998
10	4	were	7.63995
10	5	hit	7.6986
10	6	for	5.91189
10	7	hours	7.52529
10	8	and	3.25042
10	9	hours	8.9547
10	10	confessed	15.9474
10	11	to	3.23738
10	12	crimes	10.4105
10	13	they	10.8716
10	14	never	7.83542
10	15	committed	7.91473
11	1	The	1.38264
11	2	prisoners	14.3231
11	3	beaten	12.3375
11	4	for	9.44484
11	5	hours	9.74357
11	6	and	13.2662
11	7	hours	18.1997
11	8	confessed	10.9742
11	9	to	0.792591
11	10	crimes	10.4869
11	11	they	13.1824
11	12	never	15.5503
11	13	committed	8.84225
12	1	The	1.38264
12	2	prisoners	14.3231
12	3	who	15.3998
12	4	were	7.63995
12	5	beaten	9.14981
12	6	for	8.99656
12	7	hours	10.5034
12	8	and	14.2671
12	9	hours	17.833
12	10	confessed	14.3465
12	11	to	0.7686
12	12	crimes	10.2616
12	13	they	11.6388
12	14	never	12.173
12	15	committed	10.7382
13	1	The	1.38264
13	2	business	8.23381
13	3	expanded	8.60686
13	4	into	4.96321
13	5	an	3.6819
13	6	empire	16.5017
13	7	was	14.7615
13	8	sold	3.23564
13	9	for	2.55181
13	10	billions	9.12644
13	11	of	0.425285
13	12	dollars	2.18408
14	1	The	1.38264
14	2	business	8.23381
14	3	that	13.5263
14	4	was	7.35056
14	5	expanded	9.27506
14	6	into	5.54592
14	7	an	4.21487
14	8	empire	15.8736
14	9	was	15.2201
14	10	sold	9.08832
14	11	for	10.1224
14	12	billions	9.49803
14	13	of	1.14451
14	14	dollars	2.72275
15	1	The	1.38264
15	2	business	8.23381
15	3	grown	16.0914
15	4	into	5.23143
15	5	an	4.05345
15	6	empire	17.4396
15	7	was	15.6115
15	8	sold	13.4544
15	9	for	12.79
15	10	billions	12.9124
15	11	of	4.17504
15	12	dollars	3.8915
16	1	The	1.38264
16	2	business	8.23381
16	3	that	13.5263
16	4	was	7.35056
16	5	grown	9.34579
16	6	into	4.45998
16	7	an	4.04185
16	8	empire	17.3359
16	9	was	15.853
16	10	sold	9.32934
16	11	for	3.35186
16	12	billions	8.54206
16	13	of	0.0239439
16	14	dollars	1.84331
17	1	The	1.38264
17	2	mice	13.0068
17	3	consumed	12.1295
17	4	rapidly	13.7456
17	5	and	10.8216
17	6	entirely	13.451
17	7	were	10.1301
17	8	carrying	14.0623
17	9	a	2.57861
17	10	rare	7.24752
17	11	bacteria	10.6922
18	1	The	1.38264
18	2	mice	13.0068
18	3	that	12.5627
18	4	were	13.3431
18	5	consumed	13.3364
18	6	rapidly	13.5742
18	7	and	3.32675
18	8	entirely	11.9243
18	9	were	10.0753
18	10	carrying	7.60315
18	11	a	2.66833
18	12	rare	6.61616
18	13	bacteria	10.7551
19	1	The	1.38264
19	2	mice	13.0068
19	3	consumed	12.1295
19	4	rapidly	13.7456
19	5	and	10.8216
19	6	entirely	13.451
19	7	were	10.1301
19	8	carrying	14.0623
19	9	a	2.57861
19	10	rare	7.24752
19	11	bacteria	10.6922
20	1	The	1.38264
20	2	mice	13.0068
20	3	that	12.5627
20	4	were	13.3431
20	5	consumed	13.3364
20	6	rapidly	13.5742
20	7	and	3.32675
20	8	entirely	11.9243
20	9	were	10.0753
20	10	carrying	7.60315
20	11	a	2.66833
20	12	rare	6.61616
20	13	bacteria	10.7551
21	1	The	1.38264
21	2	lawyer	10.3102
21	3	pledged	7.63024
21	4	to	12.7603
21	5	keep	9.75233
21	6	silent	10.6847
21	7	was	15.9091
21	8	discovered	14.0941
21	9	to	7.15347
21	10	have	13.2921
21	11	broken	9.48004
21	12	his	5.33519
21	13	promise	8.31645
22	1	The	1.38264
22	2	lawyer	10.3102
22	3	that	14.5967
22	4	was	8.47453
22	5	pledged	10.4296
22	6	to	4.97089
22	7	keep	12.4986
22	8	silent	17.0324
22	9	was	15.7114
22	10	discovered	15.8778
22	11	to	2.07172
22	12	have	6.19639
22	13	broken	7.6326
22	14	his	6.41278
22	15	promise	7.9642
23	1	The	1.38264
23	2	lawyer	10.3102
23	3	committed	11.6334
23	4	to	13.514
23	5	keep	14.3979
23	6	silent	16.5399
23	7	was	12.1139
23	8	discovered	13.6177
23	9	to	4.97671
23	10	have	11.1103
23	11	broken	7.94786
23	12	his	6.02512
23	13	promise	6.74776
24	1	The	1.38264
24	2	lawyer	10.3102
24	3	who	16.7855
24	4	was	17.3205
24	5	committed	10.0031
24	6	to	1.72205
24	7	keep	5.00612
24	8	silent	12.8362
24	9	was	17.6773
24	10	discovered	14.5448
24	11	to	3.44756
24	12	have	5.16258
24	13	broken	7.7704
24	14	his	4.01874
24	15	promise	8.15389
25	1	The	1.38264
25	2	child	9.57449
25	3	kicked	11.5256
25	4	in	2.88069
25	5	the	2.49863
25	6	chaos	9.7946
25	7	found	15.1815
25	8	her	12.8816
25	9	way	5.08909
25	10	back	6.75155
25	11	home	14.45
26	1	The	1.38264
26	2	child	9.57449
26	3	who	16.0778
26	4	was	15.3055
26	5	kicked	11.8477
26	6	in	2.33567
26	7	the	2.00517
26	8	chaos	9.793
26	9	found	17.2127
26	10	her	6.30872
26	11	way	7.94508
26	12	back	9.8054
26	13	home	13.0287
27	1	The	1.38264
27	2	child	9.57449
27	3	forgotten	13.2559
27	4	in	2.85454
27	5	the	1.91787
27	6	chaos	11.2993
27	7	found	20.3212
27	8	her	7.6595
27	9	way	7.37214
27	10	back	9.88519
27	11	home	4.56364
28	1	The	1.38264
28	2	child	9.57449
28	3	who	16.0778
28	4	was	15.3055
28	5	forgotten	12.7407
28	6	in	2.68033
28	7	the	2.3227
28	8	chaos	12.2459
28	9	found	11.3562
28	10	her	10.3056
28	11	way	6.25186
28	12	back	7.33238
28	13	home	7.43613
29	1	The	1.38264
29	2	horses	13.5244
29	3	UNK-LC-ed	6.20825
29	4	past	8.36878
29	5	the	3.23912
29	6	barn	10.4044
29	7	fell	16.8426
29	8	into	4.99721
29	9	a	2.3996
29	10	swamp	14.0253
30	1	The	1.38264
30	2	horses	13.5244
30	3	that	14.7386
30	4	were	10.1472
30	5	UNK-LC-ed	5.35795
30	6	past	7.86658
30	7	the	2.86334
30	8	barn	9.22897
30	9	fell	15.9908
30	10	into	3.88368
30	11	a	2.00706
30	12	swamp	14.1086
31	1	The	1.38264
31	2	horses	13.5244
31	3	taken	10.514
31	4	past	10.0704
31	5	the	6.42753
31	6	barn	9.84134
31	7	fell	14.7703
31	8	into	5.80914
31	9	a	2.05033
31	10	swamp	14.3588
32	1	The	1.38264
32	2	horses	13.5244
32	3	that	14.7386
32	4	were	10.1472
32	5	taken	11.4639
32	6	past	7.77522
32	7	the	3.72731
32	8	barn	9.07796
32	9	fell	14.0062
32	10	into	5.75234
32	11	a	2.56913
32	12	swamp	14.0969
33	1	The	1.38264
33	2	artist	9.51947
33	3	painted	10.1302
33	4	a	1.42716
33	5	impressionist	16.1866
33	6	portrait	12.0844
33	7	was	9.74198
33	8	impressed	9.64618
33	9	with	2.94358
33	10	the	1.72793
33	11	work	7.99371
34	1	The	1.38264
34	2	artist	9.51947
34	3	who	14.6072
34	4	was	15.5651
34	5	painted	12.5139
34	6	a	2.49042
34	7	impressionist	15.4226
34	8	portrait	12.1196
34	9	was	13.2452
34	10	impressed	10.5229
34	11	with	2.05338
34	12	the	1.96886
34	13	work	7.44652
35	1	The	1.38264
35	2	artist	9.51947
35	3	drawn	10.8754
35	4	a	2.59191
35	5	impressionist	16.5128
35	6	portrait	11.004
35	7	was	14.0176
35	8	impressed	10.4346
35	9	with	2.42351
35	10	the	1.54859
35	11	work	7.9957
36	1	The	1.38264
36	2	artist	9.51947
36	3	who	14.6072
36	4	was	15.5651
36	5	drawn	12.8373
36	6	a	6.93843
36	7	impressionist	13.5471
36	8	portrait	12.016
36	9	was	13.2109
36	10	impressed	10.4326
36	11	with	1.61668
36	12	the	1.84424
36	13	work	7.3508
37	1	The	1.38264
37	2	car	9.08062
37	3	steered	11.1052
37	4	into	8.07405
37	5	the	2.7576
37	6	parking	9.41789
37	7	lot	3.08968
37	8	crashed	19.0592
37	9	into	13.4998
37	10	a	2.72282
37	11	concrete	6.95614
37	12	wall	5.33044
38	1	The	1.38264
38	2	car	9.08062
38	3	that	16.3125
38	4	was	8.22716
38	5	steered	9.77994
38	6	into	3.06236
38	7	the	1.55819
38	8	parking	7.5051
38	9	lot	4.05308
38	10	crashed	15.574
38	11	into	6.76389
38	12	a	1.90371
38	13	concrete	7.37319
38	14	wall	5.75398
39	1	The	1.38264
39	2	car	9.08062
39	3	driven	12.2759
39	4	into	13.4596
39	5	the	11.7948
39	6	parking	10.5581
39	7	lot	5.83749
39	8	crashed	16.4331
39	9	into	6.70363
39	10	a	1.81629
39	11	concrete	7.96698
39	12	wall	5.68266
40	1	The	1.38264
40	2	car	9.08062
40	3	that	16.3125
40	4	was	8.22716
40	5	driven	8.22836
40	6	into	3.79536
40	7	the	1.64877
40	8	parking	7.59886
40	9	lot	3.48625
40	10	crashed	17.1729
40	11	into	8.29382
40	12	a	2.14493
40	13	concrete	8.09159
40	14	wall	6.02137
41	1	The	1.38264
41	2	campaign	7.38875
41	3	intended	9.59356
41	4	to	0.000367143
41	5	be	2.91568
41	6	very	8.34031
41	7	popular	7.46294
41	8	was	13.5688
41	9	still	11.2249
41	10	unsuccessful	11.5545
42	1	The	1.38264
42	2	campaign	7.38875
42	3	that	13.2734
42	4	was	9.3667
42	5	intended	9.3042
42	6	to	0.669788
42	7	be	3.05506
42	8	very	8.03421
42	9	popular	11.5565
42	10	was	16.0414
42	11	still	12.8358
42	12	unsuccessful	11.0904
43	1	The	1.38264
43	2	campaign	7.38875
43	3	known	11.0708
43	4	to	10.9837
43	5	be	8.07775
43	6	very	12.6819
43	7	popular	7.38807
43	8	was	11.5416
43	9	still	9.26669
43	10	unsuccessful	6.67659
44	1	The	1.38264
44	2	campaign	7.38875
44	3	that	13.2734
44	4	was	9.3667
44	5	known	9.04799
44	6	to	4.09803
44	7	be	11.3998
44	8	very	7.82212
44	9	popular	11.4484
44	10	was	17.4111
44	11	still	12.2544
44	12	unsuccessful	10.9866
45	1	The	1.38264
45	2	student	9.98882
45	3	composed	12.8312
45	4	a	4.81993
45	5	carefully	13.9056
45	6	worded	19.673
45	7	excuse	13.4976
45	8	forgot	15.1717
45	9	to	9.26798
45	10	give	9.8587
45	11	it	3.03841
45	12	to	11.1694
45	13	the	9.55555
45	14	teacher	14.0174
46	1	The	1.38264
46	2	student	9.98882
46	3	who	14.213
46	4	was	3.50193
46	5	composed	8.10611
46	6	a	11.789
46	7	carefully	7.80815
46	8	worded	17.8419
46	9	excuse	13.556
46	10	forgot	13.3886
46	11	to	13.3616
46	12	give	11.0573
46	13	it	3.12681
46	14	to	12.4079
46	15	the	5.22695
46	16	teacher	10.2292
47	1	The	1.38264
47	2	student	9.98882
47	3	written	10.902
47	4	a	3.55887
47	5	carefully	9.36716
47	6	worded	9.34723
47	7	excuse	10.4859
47	8	forgot	17.2997
47	9	to	2.92875
47	10	give	14.1966
47	11	it	12.5259
47	12	to	5.55033
47	13	the	1.36205
47	14	teacher	11.6054
48	1	The	1.38264
48	2	student	9.98882
48	3	who	14.213
48	4	was	3.50193
48	5	written	7.01359
48	6	a	10.7404
48	7	carefully	9.51241
