sentence_id	token_id	token	surprisal
1	1	The	1.79954
1	2	author	9.74401
1	3	next	10.4211
1	4	to	1.5297
1	5	the	1.33985
1	6	senators	7.69654
1	7	is	3.32834
1	8	good	7.37319
2	1	The	1.78331
2	2	author	9.71704
2	3	next	10.6887
2	4	to	1.89749
2	5	the	1.49028
2	6	senators	7.47495
2	7	are	5.45624
2	8	good	7.54428
3	1	The	1.73975
3	2	authors	8.13675
3	3	next	12.1025
3	4	to	2.61538
3	5	the	1.05018
3	6	senator	8.33513
3	7	are	4.34196
3	8	good	8.15316
4	1	The	1.8535
4	2	authors	8.16859
4	3	next	12.6268
4	4	to	2.01268
4	5	the	1.14782
4	6	senator	8.19366
4	7	is	4.80729
4	8	good	7.83481
5	1	The	1.83624
5	2	pilot	7.90865
5	3	behind	9.32966
5	4	the	1.06298
5	5	teachers	9.65212
5	6	brings	11.4417
5	7	love	10.2765
5	8	to	1.30922
5	9	people	5.84405
6	1	The	1.81738
6	2	pilot	7.9111
6	3	behind	8.9622
6	4	the	1.03816
6	5	teachers	9.68238
6	6	bring	8.819
6	7	love	10.117
6	8	to	1.07594
6	9	people	5.52752
7	1	The	1.79097
7	2	pilots	6.13856
7	3	behind	11.1383
7	4	the	0.990582
7	5	teacher	14.4468
7	6	brings	10.8263
7	7	love	11.3644
7	8	to	1.14879
7	9	people	5.95162
8	1	The	1.70822
8	2	pilots	6.17168
8	3	behind	11.1901
8	4	the	0.99474
8	5	teacher	14.3817
8	6	bring	9.70059
8	7	love	11.3677
8	8	to	1.02419
8	9	people	5.5138
9	1	The	1.78238
9	2	doctor	9.51461
9	3	in	5.3873
9	4	front	7.65294
9	5	of	0.325513
9	6	the	1.2103
9	7	guards	14.9599
9	8	interests	12.3906
9	9	people	7.72075
10	1	The	1.75453
10	2	doctor	9.50855
10	3	in	5.46533
10	4	front	6.91759
10	5	of	0.254701
10	6	the	1.27215
10	7	guards	15.0341
10	8	interest	12.3358
10	9	people	10.375
11	1	The	1.83989
11	2	doctors	11.192
11	3	in	4.51268
11	4	front	6.55199
11	5	of	0.368983
11	6	the	1.20781
11	7	guard	10.3424
11	8	interests	11.0646
11	9	people	7.17928
12	1	The	1.7785
12	2	doctors	11.1914
12	3	in	4.46885
12	4	front	6.103
12	5	of	0.255593
12	6	the	1.28579
12	7	guard	10.31
12	8	interest	11.6243
12	9	people	7.04079
13	1	The	1.82722
13	2	farmer	6.98374
13	3	near	8.93035
13	4	the	0.863858
13	5	clerks	15.6626
13	6	knows	10.2909
13	7	many	5.77762
13	8	people	2.7532
14	1	The	1.69624
14	2	farmer	6.94382
14	3	near	8.72196
14	4	the	0.911301
14	5	clerks	15.6451
14	6	know	10.8987
14	7	many	6.09611
14	8	people	2.55097
15	1	The	1.7672
15	2	farmers	7.5974
15	3	near	9.8015
15	4	the	1.01489
15	5	clerk	12.1667
15	6	knows	7.78435
15	7	many	5.78375
15	8	people	2.74009
16	1	The	1.7984
16	2	farmers	7.61564
16	3	near	9.20056
16	4	the	1.03331
16	5	clerk	12.1864
16	6	know	6.37288
16	7	many	5.78989
16	8	people	2.63365
17	1	The	1.74281
17	2	manager	9.2921
17	3	to	7.87422
17	4	the	1.64121
17	5	side	11.1221
17	6	of	0.298798
17	7	the	0.936548
17	8	architects	14.1455
17	9	likes	9.14253
17	10	to	1.31468
17	11	gamble	9.01549
18	1	The	1.76637
18	2	manager	9.32003
18	3	to	7.15401
18	4	the	1.39922
18	5	side	10.994
18	6	of	0.348386
18	7	the	0.908237
18	8	architects	14.1992
18	9	like	7.24251
18	10	to	2.37471
18	11	gamble	8.70538
19	1	The	1.76917
19	2	managers	8.16834
19	3	to	9.76087
19	4	the	1.18988
19	5	side	10.1395
19	6	of	0.232787
19	7	the	0.599288
19	8	architect	13.3262
19	9	likes	10.7128
19	10	to	1.12057
19	11	gamble	8.78374
20	1	The	1.77347
20	2	managers	8.20456
20	3	to	9.56493
20	4	the	1.22857
20	5	side	10.3406
20	6	of	0.355138
20	7	the	0.642495
20	8	architect	13.1931
20	9	like	8.66061
20	10	to	1.82279
20	11	gamble	8.71736
21	1	The	1.80452
21	2	customer	9.38886
21	3	across	10.7948
21	4	from	11.2229
21	5	the	0.894413
21	6	athletes	10.4475
21	7	enjoys	9.94412
21	8	playing	9.30355
21	9	tennis	14.3858
22	1	The	1.7372
22	2	customer	9.36512
22	3	across	10.4173
22	4	from	9.74455
22	5	the	1.02217
22	6	athletes	10.9567
22	7	enjoy	10.3819
22	8	playing	7.5425
22	9	tennis	16.2131
23	1	The	1.7891
23	2	customers	7.63119
23	3	across	7.65016
23	4	from	15.258
23	5	the	4.34169
23	6	athlete	12.8223
23	7	enjoys	11.2669
23	8	playing	9.50762
23	9	tennis	14.8012
24	1	The	1.76736
24	2	customers	7.4656
24	3	across	7.5023
24	4	from	15.2425
24	5	the	4.48176
24	6	athlete	12.8977
24	7	enjoy	9.98696
24	8	playing	7.23345
24	9	tennis	16.738
25	1	The	1.73101
25	2	officer	15.4372
25	3	next	13.3494
25	4	to	3.40935
25	5	the	1.33838
25	6	actors	11.1847
25	7	is	3.66253
25	8	good	7.55838
26	1	The	1.69877
26	2	officer	15.6639
26	3	next	11.2224
26	4	to	1.88388
26	5	the	1.02359
26	6	actors	11.7704
26	7	are	3.30208
26	8	good	7.38504
27	1	The	1.75613
27	2	officers	11.1479
27	3	next	12.4615
27	4	to	2.14454
27	5	the	1.55327
27	6	actor	9.7433
27	7	is	5.07588
27	8	good	7.68254
28	1	The	1.75536
28	2	officers	11.0655
28	3	next	11.6726
28	4	to	1.48768
28	5	the	1.33445
28	6	actor	9.48353
28	7	are	6.236
28	8	good	7.96774
29	1	The	1.81339
29	2	teacher	11.7193
29	3	behind	7.81441
29	4	the	1.1094
29	5	ministers	11.8764
29	6	is	2.13722
29	7	good	6.32649
30	1	The	1.79766
30	2	teacher	11.7203
30	3	behind	8.30826
30	4	the	1.12579
30	5	ministers	11.8811
30	6	are	3.03625
30	7	good	6.32976
31	1	The	1.7967
31	2	teachers	10.0205
31	3	behind	8.66434
31	4	the	0.981504
31	5	minister	12.377
31	6	is	3.27542
31	7	good	7.17901
32	1	The	1.75826
32	2	teachers	10.0064
32	3	behind	9.26871
32	4	the	0.980867
32	5	minister	12.6699
32	6	are	3.40838
32	7	good	7.21107
33	1	The	1.81605
33	2	senator	9.68762
33	3	in	7.60315
33	4	front	8.06518
33	5	of	0.258403
33	6	the	0.925579
33	7	actors	11.6899
33	8	is	10.5062
33	9	good	8.97955
34	1	The	1.81077
34	2	senator	9.45486
34	3	in	12.0007
34	4	front	10.2983
34	5	of	0.594367
34	6	the	1.23823
34	7	actors	10.6738
34	8	are	4.64738
34	9	good	7.91286
35	1	The	1.92201
35	2	senators	8.88019
35	3	in	5.19413
35	4	front	7.5634
35	5	of	0.391509
35	6	the	0.996989
35	7	actor	9.76744
35	8	is	3.34489
35	9	good	7.24957
36	1	The	1.73587
36	2	senators	8.91333
36	3	in	4.36228
36	4	front	6.96308
36	5	of	0.337772
36	6	the	1.14114
36	7	actor	9.75903
36	8	are	3.62183
36	9	good	7.66103
37	1	The	1.78113
37	2	consultant	13.6821
37	3	near	8.7118
37	4	the	1.01142
37	5	secretaries	12.7971
37	6	is	1.85878
37	7	good	8.24906
38	1	The	1.75628
38	2	consultant	13.6565
38	3	near	8.91257
38	4	the	0.991174
38	5	secretaries	12.7742
38	6	are	5.85854
38	7	good	7.88419
39	1	The	1.80847
39	2	consultants	8.04762
39	3	near	11.8668
39	4	the	0.964465
39	5	secretary	10.6691
39	6	is	3.53456
39	7	good	7.35238
40	1	The	1.84469
40	2	consultants	8.07624
40	3	near	10.3718
40	4	the	0.926179
40	5	secretary	10.8351
40	6	are	2.86647
40	7	good	7.64364
41	1	The	1.82336
41	2	guard	10.86
41	3	to	8.57868
41	4	the	1.07516
41	5	side	10.0827
41	6	of	0.733195
41	7	the	0.643866
41	8	executives	9.98115
41	9	is	3.55
41	10	good	7.501
42	1	The	1.77993
42	2	guard	10.8705
42	3	to	9.44105
42	4	the	0.987259
42	5	side	10.0301
42	6	of	0.440887
42	7	the	0.606077
42	8	executives	9.91328
42	9	are	2.5904
42	10	good	7.41049
43	1	The	1.76672
43	2	guards	16.4894
43	3	to	5.23642
43	4	the	2.04046
43	5	side	10.0549
43	6	of	0.43297
43	7	the	0.733435
43	8	executive	7.62366
43	9	is	2.72325
43	10	playing	10.7613
43	11	tennis	14.5759
44	1	The	1.83141
44	2	guards	16.1418
44	3	to	6.67656
44	4	the	1.11261
44	5	side	9.89315
44	6	of	0.410597
44	7	the	0.712102
44	8	executive	7.53957
44	9	are	4.7437
44	10	playing	10.4766
44	11	tennis	14.4494
45	1	The	1.7972
45	2	clerk	11.2875
45	3	across	9.20812
45	4	from	7.97985
45	5	the	1.04611
45	6	authors	8.72443
45	7	is	2.91077
45	8	good	7.44223
46	1	The	1.85649
46	2	clerk	11.0654
46	3	across	9.07322
46	4	from	9.51577
46	5	the	1.0638
46	6	authors	8.59794
46	7	are	3.21533
46	8	good	7.56501
47	1	The	1.78047
47	2	clerks	13.1962
47	3	across	7.41954
47	4	from	8.35595
47	5	the	1.0227
47	6	author	9.27284
47	7	is	4.17131
47	8	good	7.43355
48	1	The	1.76443
48	2	clerks	13.1864
48	3	across	7.51835
48	4	from	9.38814
48	5	the	1.63731
48	6	author	8.9874
48	7	are	4.50495
48	8	good	7.48469
49	1	The	1.84163
49	2	architect	13.5496
49	3	next	12.398
49	4	to	1.62098
49	5	the	1.2067
49	6	pilots	7.52655
49	7	is	2.71832
49	8	good	7.531
50	1	The	1.71188
50	2	architect	13.5592
50	3	next	12.5875
50	4	to	1.69249
50	5	the	1.13878
50	6	pilots	7.355
50	7	are	3.65833
50	8	good	7.70093
51	1	The	1.73971
51	2	architects	14.0884
51	3	next	11.1039
51	4	to	2.38381
51	5	the	1.16479
51	6	pilot	8.59001
51	7	is	4.62588
51	8	good	7.76536
52	1	The	1.84875
52	2	architects	14.1293
52	3	next	10.9293
52	4	to	2.01943
52	5	the	1.19111
52	6	pilot	8.67331
52	7	are	4.29225
52	8	good	8.02514
53	1	The	1.8062
53	2	athlete	11.6922
53	3	behind	8.45942
53	4	the	1.13057
53	5	doctors	11.4908
