sentence_id	token_id	token	surprisal
1	1	No	5.6557
1	2	,	11.2841
1	3	it	15.3762
1	4	was	11.8211
1	5	n't	13.1347
1	6	Black	20.4697
1	7	Monday	14.3376
1	8	.	0.0190754
2	1	But	11.1977
2	2	while	13.1937
2	3	the	8.29348
2	4	New	6.61246
2	5	York	0.234191
2	6	Stock	1.5479
2	7	Exchange	0.00466635
2	8	did	5.29868
2	9	n't	0.0306692
2	10	fall	5.08714
2	11	apart	3.76204
2	12	Friday	15.0915
2	13	as	11.4916
2	14	the	6.968
2	15	Dow	7.98747
2	16	Jones	0.196487
2	17	Industrial	0.316943
2	18	Average	0.0125465
2	19	plunged	16.258
2	20	190.58	16.6193
2	21	points	3.57319
2	22	--	14.9197
2	23	most	8.21486
2	24	of	12.9355
2	25	it	10.7299
2	26	in	1.6633
2	27	the	1.26035
2	28	final	5.86418
2	29	hour	3.57102
2	30	--	3.17772
2	31	it	14.7869
2	32	barely	13.3657
2	33	managed	14.7747
2	34	to	6.29081
2	35	stay	7.6521
2	36	this	22.1327
2	37	side	11.5637
2	38	of	14.243
2	39	chaos	14.5326
2	40	.	8.67007
3	1	Some	3.87674
3	2	``	7.18927
3	3	circuit	7.99105
3	4	breakers	2.81483
3	5	''	1.63393
3	6	installed	11.1536
3	7	after	14.6465
3	8	the	10.7755
3	9	October	14.074
3	10	1987	6.19646
3	11	crash	14.7712
3	12	failed	23.618
3	13	their	15.2555
3	14	first	11.5941
3	15	test	9.23524
3	16	,	2.97035
3	17	traders	14.7012
3	18	say	10.1612
3	19	,	6.81952
3	20	unable	11.4777
3	21	to	1.58711
3	22	cool	8.93171
3	23	the	1.38655
3	24	selling	7.76052
3	25	panic	8.8874
3	26	in	16.9054
3	27	both	7.01738
3	28	stocks	8.99435
3	29	and	13.3825
3	30	futures	6.50349
3	31	.	12.5138
4	1	The	1.2818
4	2	49	14.1473
4	3	stock	5.87941
4	4	specialist	19.2878
4	5	firms	14.8942
4	6	on	10.6269
4	7	the	1.89326
4	8	Big	6.35649
4	9	Board	0.0321827
4	10	floor	18.6028
4	11	--	14.5473
4	12	the	2.43602
4	13	buyers	8.46221
4	14	and	17.3332
4	15	sellers	9.77297
4	16	of	31.4303
4	17	last	9.71786
4	18	resort	6.33315
4	19	who	9.47503
4	20	were	21.4504
4	21	criticized	18.0265
4	22	after	12.0866
4	23	the	15.0596
4	24	1987	15.8094
4	25	crash	9.065
4	26	--	10.9179
4	27	once	9.11604
4	28	again	8.56347
4	29	could	21.7984
4	30	n't	6.42868
4	31	handle	8.323
4	32	the	0.734915
4	33	selling	8.57956
4	34	pressure	15.6677
4	35	.	13.2848
5	1	Big	7.51556
5	2	investment	8.83532
5	3	banks	6.34468
5	4	refused	14.4962
5	5	to	6.68373
5	6	step	7.91287
5	7	up	2.01488
5	8	to	13.7862
5	9	the	13.3289
5	10	plate	12.9759
5	11	to	9.2094
5	12	support	8.84444
5	13	the	21.6251
5	14	beleaguered	11.5655
5	15	floor	9.14497
5	16	traders	11.652
5	17	by	9.8182
5	18	buying	8.45489
5	19	big	16.0407
5	20	blocks	11.9737
